scenario_id,strategy_name,random_seed,swarm_size,uavs_destroyed,uavs_penetrated,penetration_rate,defense_cost,attack_cost,penetration_cost,total_cost,cost_exchange_ratio,kinetic_fired,de_fired,kinetic_hits,de_hits,kinetic_accuracy,de_accuracy,overall_accuracy,steps,termination_reason,timestamp,simulation_completed,total_shots_fired,miss_penalty_cost,total_hits
0,RL_Agent,1608637542,141,93,48,0.3404255319148936,1500000.0,4935000.0,231302879.53051347,232802879.53051347,47.17383577112735,0,150,0,93,,0.62,0.62,200,all_uavs_neutralized,2026-02-22T16:59:07.579080,True,150,0.0,93
1,RL_Agent,1273642419,96,96,0,0.0,1430000.0,3360000.0,0.0,1430000.0,0.4255952380952381,0,143,0,96,,0.6713286713286714,0.6713286713286714,143,all_uavs_neutralized,2026-02-22T16:59:07.658637,True,143,0.0,96
2,RL_Agent,1935803228,136,93,43,0.3161764705882353,1500000.0,4760000.0,200631529.29080606,202131529.29080606,42.464606993866816,0,150,0,93,,0.62,0.62,200,all_uavs_neutralized,2026-02-22T16:59:07.742612,True,150,0.0,93
3,RL_Agent,787846414,82,82,0,0.0,1130000.0,2870000.0,0.0,1130000.0,0.39372822299651566,0,113,0,82,,0.7256637168141593,0.7256637168141593,113,all_uavs_neutralized,2026-02-22T16:59:07.791476,True,113,0.0,82
4,RL_Agent,996406378,144,101,43,0.2986111111111111,1500000.0,5040000.0,237973529.51336157,239473529.51336157,47.51458918915904,0,150,0,101,,0.6733333333333333,0.6733333333333333,200,all_uavs_neutralized,2026-02-22T16:59:07.899510,True,150,0.0,101
5,RL_Agent,1201263687,135,108,27,0.2,1500000.0,4725000.0,89932863.65464935,91432863.65464935,19.350870614740604,0,150,0,108,,0.72,0.72,200,all_uavs_neutralized,2026-02-22T16:59:07.976530,True,150,0.0,108
6,RL_Agent,423734972,62,62,0,0.0,890000.0,2170000.0,0.0,890000.0,0.41013824884792627,0,89,0,62,,0.6966292134831461,0.6966292134831461,89,all_uavs_neutralized,2026-02-22T16:59:08.025138,True,89,0.0,62
7,RL_Agent,415968276,96,96,0,0.0,1360000.0,3360000.0,0.0,1360000.0,0.40476190476190477,0,136,0,96,,0.7058823529411765,0.7058823529411765,136,all_uavs_neutralized,2026-02-22T16:59:08.087969,True,136,0.0,96
8,RL_Agent,670094950,90,90,0,0.0,1280000.0,3150000.0,0.0,1280000.0,0.40634920634920635,0,128,0,90,,0.703125,0.703125,128,all_uavs_neutralized,2026-02-22T16:59:08.145930,True,128,0.0,90
9,RL_Agent,1914837113,58,58,0,0.0,930000.0,2030000.0,0.0,930000.0,0.458128078817734,0,93,0,58,,0.6236559139784946,0.6236559139784946,93,all_uavs_neutralized,2026-02-22T16:59:08.190030,True,93,0.0,58
10,RL_Agent,669991378,68,68,0,0.0,920000.0,2380000.0,0.0,920000.0,0.3865546218487395,0,92,0,68,,0.7391304347826086,0.7391304347826086,92,all_uavs_neutralized,2026-02-22T16:59:08.234589,True,92,0.0,68
11,RL_Agent,429389014,86,86,0,0.0,1090000.0,3010000.0,0.0,1090000.0,0.36212624584717606,0,109,0,86,,0.7889908256880734,0.7889908256880734,109,all_uavs_neutralized,2026-02-22T16:59:08.284344,True,109,0.0,86
12,RL_Agent,249467210,133,103,30,0.22556390977443608,1500000.0,4655000.0,134450681.6082022,135950681.6082022,29.205302171472006,0,150,0,103,,0.6866666666666666,0.6866666666666666,200,all_uavs_neutralized,2026-02-22T16:59:08.367614,True,150,0.0,103
13,RL_Agent,1972458954,50,50,0,0.0,680000.0,1750000.0,0.0,680000.0,0.38857142857142857,0,68,0,50,,0.7352941176470589,0.7352941176470589,68,all_uavs_neutralized,2026-02-22T16:59:08.397923,True,68,0.0,50
14,RL_Agent,1572714583,66,66,0,0.0,950000.0,2310000.0,0.0,950000.0,0.41125541125541126,0,95,0,66,,0.6947368421052632,0.6947368421052632,95,all_uavs_neutralized,2026-02-22T16:59:08.437253,True,95,0.0,66
