scenario_id,strategy_name,random_seed,swarm_size,uavs_destroyed,uavs_penetrated,penetration_rate,defense_cost,attack_cost,penetration_cost,total_cost,cost_exchange_ratio,kinetic_fired,de_fired,kinetic_hits,de_hits,kinetic_accuracy,de_accuracy,overall_accuracy,steps,termination_reason,timestamp,simulation_completed,total_shots_fired,total_hits
0,RL_Agent,1608637542,141,0,141,1.0,0.0,4935000.0,141000000.0,141000000.0,28.571428571428573,0,0,0,0,,,,20,all_uavs_neutralized,2026-01-12T20:26:12.786129,True,0,0
1,RL_Agent,1273642419,274,1,273,0.9963503649635036,1000000.0,9590000.0,273000000.0,274000000.0,28.571428571428573,1,0,1,0,1.0,,1.0,20,all_uavs_neutralized,2026-01-12T20:26:12.793916,True,1,1
2,RL_Agent,1935803228,442,0,442,1.0,0.0,15470000.0,442000000.0,442000000.0,28.571428571428573,0,0,0,0,,,,20,all_uavs_neutralized,2026-01-12T20:26:12.799973,True,0,0
3,RL_Agent,787846414,388,0,388,1.0,0.0,13580000.0,388000000.0,388000000.0,28.571428571428573,0,0,0,0,,,,20,all_uavs_neutralized,2026-01-12T20:26:12.806039,True,0,0
4,RL_Agent,996406378,337,1,336,0.9970326409495549,10000.0,11795000.0,336000000.0,336010000.0,28.487494701144552,0,1,0,1,,1.0,1.0,20,all_uavs_neutralized,2026-01-12T20:26:12.813595,True,1,1
5,RL_Agent,1201263687,313,1,312,0.9968051118210862,20000.0,10955000.0,312000000.0,312020000.0,28.48197170241899,0,2,0,1,,0.5,0.5,20,all_uavs_neutralized,2026-01-12T20:26:12.820965,True,2,1
6,RL_Agent,423734972,240,0,240,1.0,0.0,8400000.0,240000000.0,240000000.0,28.571428571428573,0,0,0,0,,,,20,all_uavs_neutralized,2026-01-12T20:26:12.828297,True,0,0
7,RL_Agent,415968276,111,0,111,1.0,0.0,3885000.0,111000000.0,111000000.0,28.571428571428573,0,0,0,0,,,,20,all_uavs_neutralized,2026-01-12T20:26:12.835373,True,0,0
8,RL_Agent,670094950,268,1,267,0.996268656716418,1000000.0,9380000.0,267000000.0,268000000.0,28.571428571428573,1,0,1,0,1.0,,1.0,20,all_uavs_neutralized,2026-01-12T20:26:12.844169,True,1,1
9,RL_Agent,1914837113,236,1,235,0.9957627118644068,1000000.0,8260000.0,235000000.0,236000000.0,28.571428571428573,1,0,1,0,1.0,,1.0,20,all_uavs_neutralized,2026-01-12T20:26:12.852477,True,1,1
10,RL_Agent,669991378,215,2,213,0.9906976744186047,1010000.0,7525000.0,213000000.0,214010000.0,28.43986710963455,1,1,1,1,1.0,1.0,1.0,20,all_uavs_neutralized,2026-01-12T20:26:12.859665,True,2,2
11,RL_Agent,429389014,264,0,264,1.0,0.0,9240000.0,264000000.0,264000000.0,28.571428571428573,0,0,0,0,,,,20,all_uavs_neutralized,2026-01-12T20:26:12.868180,True,0,0
12,RL_Agent,249467210,141,0,141,1.0,0.0,4935000.0,141000000.0,141000000.0,28.571428571428573,0,0,0,0,,,,20,all_uavs_neutralized,2026-01-12T20:26:12.876648,True,0,0
