scenario_id,strategy_name,random_seed,swarm_size,uavs_destroyed,uavs_penetrated,penetration_rate,defense_cost,attack_cost,penetration_cost,total_cost,cost_exchange_ratio,kinetic_fired,de_fired,kinetic_hits,de_hits,kinetic_accuracy,de_accuracy,overall_accuracy,steps,termination_reason,timestamp,simulation_completed,total_shots_fired,total_hits
0,Baseline,1608637542,141,100,41,0.2907801418439716,51000000.0,4935000.0,41000000.0,92000000.0,18.642350557244175,50,100,46,62,0.92,0.62,0.72,200,all_uavs_neutralized,2026-02-23T22:46:10.300899,True,150,108
1,Baseline,1273642419,274,110,164,0.5985401459854015,51000000.0,9590000.0,164000000.0,215000000.0,22.419186652763294,50,100,46,64,0.92,0.64,0.7333333333333333,200,all_uavs_neutralized,2026-02-23T22:46:10.316340,True,150,110
2,Baseline,1935803228,442,104,338,0.7647058823529411,51000000.0,15470000.0,338000000.0,389000000.0,25.145442792501616,50,100,47,57,0.94,0.57,0.6933333333333334,200,all_uavs_neutralized,2026-02-23T22:46:10.331576,True,150,104
3,Baseline,787846414,388,116,272,0.7010309278350515,51000000.0,13580000.0,272000000.0,323000000.0,23.78497790868925,50,100,44,72,0.88,0.72,0.7733333333333333,200,all_uavs_neutralized,2026-02-23T22:46:10.345850,True,150,116
4,Baseline,996406378,337,111,226,0.6706231454005934,51000000.0,11795000.0,226000000.0,277000000.0,23.484527342094108,50,100,44,67,0.88,0.67,0.74,200,all_uavs_neutralized,2026-02-23T22:46:10.358309,True,150,111
5,Baseline,1201263687,313,115,198,0.6325878594249201,51000000.0,10955000.0,198000000.0,249000000.0,22.729347329986307,50,100,46,69,0.92,0.69,0.7666666666666667,200,all_uavs_neutralized,2026-02-23T22:46:10.370137,True,150,115
6,Baseline,423734972,240,115,125,0.5208333333333334,51000000.0,8400000.0,125000000.0,176000000.0,20.952380952380953,50,100,44,71,0.88,0.71,0.7666666666666667,200,all_uavs_neutralized,2026-02-23T22:46:10.380787,True,150,115
7,Baseline,415968276,111,79,32,0.2882882882882883,51000000.0,3885000.0,32000000.0,83000000.0,21.364221364221365,50,100,46,69,0.92,0.69,0.7666666666666667,200,all_uavs_neutralized,2026-02-23T22:46:10.391522,True,150,115
8,Baseline,670094950,268,117,151,0.5634328358208955,51000000.0,9380000.0,151000000.0,202000000.0,21.535181236673775,50,100,49,68,0.98,0.68,0.78,200,all_uavs_neutralized,2026-02-23T22:46:10.405957,True,150,117
9,Baseline,1914837113,236,104,132,0.559322033898305,51000000.0,8260000.0,132000000.0,183000000.0,22.15496368038741,50,100,41,63,0.82,0.63,0.6933333333333334,200,all_uavs_neutralized,2026-02-23T22:46:10.416913,True,150,104
10,Baseline,669991378,215,120,95,0.4418604651162791,51000000.0,7525000.0,95000000.0,146000000.0,19.40199335548173,50,100,47,73,0.94,0.73,0.8,200,all_uavs_neutralized,2026-02-23T22:46:10.426397,True,150,120
11,Baseline,429389014,264,124,140,0.5303030303030303,51000000.0,9240000.0,140000000.0,191000000.0,20.67099567099567,50,100,45,79,0.9,0.79,0.8266666666666667,200,all_uavs_neutralized,2026-02-23T22:46:10.437440,True,150,124
12,Baseline,249467210,141,107,34,0.24113475177304963,51000000.0,4935000.0,34000000.0,85000000.0,17.223910840932117,50,100,41,73,0.82,0.73,0.76,200,all_uavs_neutralized,2026-02-23T22:46:10.446613,True,150,114
13,Baseline,1972458954,356,113,243,0.6825842696629213,51000000.0,12460000.0,243000000.0,294000000.0,23.59550561797753,50,100,43,70,0.86,0.7,0.7533333333333333,200,all_uavs_neutralized,2026-02-23T22:46:10.456506,True,150,113
14,Baseline,1572714583,500,120,380,0.76,51000000.0,17500000.0,380000000.0,431000000.0,24.62857142857143,50,100,50,70,1.0,0.7,0.8,200,all_uavs_neutralized,2026-02-23T22:46:10.469625,True,150,120
15,Baseline,1433267572,252,113,139,0.5515873015873016,51000000.0,8820000.0,139000000.0,190000000.0,21.541950113378686,50,100,46,67,0.92,0.67,0.7533333333333333,200,all_uavs_neutralized,2026-02-23T22:46:10.481463,True,150,113
16,Baseline,434285667,307,117,190,0.6188925081433225,51000000.0,10745000.0,190000000.0,241000000.0,22.42903676128432,50,100,44,73,0.88,0.73,0.78,200,all_uavs_neutralized,2026-02-23T22:46:10.491846,True,150,117
17,Baseline,613608295,252,111,141,0.5595238095238095,51000000.0,8820000.0,141000000.0,192000000.0,21.768707482993197,50,100,47,64,0.94,0.64,0.74,200,all_uavs_neutralized,2026-02-23T22:46:10.503258,True,150,111
18,Baseline,893664919,171,112,59,0.34502923976608185,51000000.0,5985000.0,59000000.0,110000000.0,18.379281537176276,50,100,47,65,0.94,0.65,0.7466666666666667,200,all_uavs_neutralized,2026-02-23T22:46:10.513407,True,150,112
19,Baseline,648061058,460,113,347,0.7543478260869565,51000000.0,16100000.0,347000000.0,398000000.0,24.720496894409937,50,100,46,67,0.92,0.67,0.7533333333333333,200,all_uavs_neutralized,2026-02-23T22:46:10.524327,True,150,113
20,Baseline,88409749,153,121,32,0.20915032679738563,51000000.0,5355000.0,32000000.0,83000000.0,15.49953314659197,50,100,47,74,0.94,0.74,0.8066666666666666,200,all_uavs_neutralized,2026-02-23T22:46:10.541661,True,150,121
21,Baseline,242285876,304,113,191,0.6282894736842105,51000000.0,10640000.0,191000000.0,242000000.0,22.74436090225564,50,100,46,67,0.92,0.67,0.7533333333333333,200,all_uavs_neutralized,2026-02-23T22:46:10.557740,True,150,113
22,Baseline,2018247425,307,112,195,0.6351791530944625,51000000.0,10745000.0,195000000.0,246000000.0,22.894369474174034,50,100,43,69,0.86,0.69,0.7466666666666667,200,all_uavs_neutralized,2026-02-23T22:46:10.568969,True,150,112
23,Baseline,953477463,380,110,270,0.7105263157894737,51000000.0,13300000.0,270000000.0,321000000.0,24.13533834586466,50,100,46,64,0.92,0.64,0.7333333333333333,200,all_uavs_neutralized,2026-02-23T22:46:10.579373,True,150,110
24,Baseline,1427830251,271,117,154,0.5682656826568265,51000000.0,9485000.0,154000000.0,205000000.0,21.61307327358988,50,100,46,71,0.92,0.71,0.78,200,all_uavs_neutralized,2026-02-23T22:46:10.588399,True,150,117
25,Baseline,1883569565,216,121,95,0.4398148148148148,51000000.0,7560000.0,95000000.0,146000000.0,19.312169312169313,50,100,48,73,0.96,0.73,0.8066666666666666,200,all_uavs_neutralized,2026-02-23T22:46:10.599049,True,150,121
26,Baseline,911989541,348,119,229,0.6580459770114943,51000000.0,12180000.0,229000000.0,280000000.0,22.988505747126435,50,100,45,74,0.9,0.74,0.7933333333333333,200,all_uavs_neutralized,2026-02-23T22:46:10.609150,True,150,119
27,Baseline,3344769,275,121,154,0.56,51000000.0,9625000.0,154000000.0,205000000.0,21.2987012987013,50,100,45,76,0.9,0.76,0.8066666666666666,200,all_uavs_neutralized,2026-02-23T22:46:10.617874,True,150,121
28,Baseline,780932287,166,110,56,0.3373493975903614,51000000.0,5810000.0,56000000.0,107000000.0,18.416523235800344,50,100,48,62,0.96,0.62,0.7333333333333333,200,all_uavs_neutralized,2026-02-23T22:46:10.626897,True,150,110
29,Baseline,2114032571,417,117,300,0.7194244604316546,51000000.0,14595000.0,300000000.0,351000000.0,24.049331963001027,50,100,44,73,0.88,0.73,0.78,200,all_uavs_neutralized,2026-02-23T22:46:10.637240,True,150,117
30,Baseline,787716372,215,120,95,0.4418604651162791,51000000.0,7525000.0,95000000.0,146000000.0,19.40199335548173,50,100,44,76,0.88,0.76,0.8,200,all_uavs_neutralized,2026-02-23T22:46:10.646438,True,150,120
31,Baseline,504579232,123,91,32,0.2601626016260163,51000000.0,4305000.0,32000000.0,83000000.0,19.279907084785133,50,100,46,70,0.92,0.7,0.7733333333333333,200,all_uavs_neutralized,2026-02-23T22:46:10.655007,True,150,116
