episode_rewards,episode_lengths,penetration_rates,cost_exchange_ratios,defense_costs,swarm_sizes,timestamps,episode_count
-652383429.5122039,200,0.5,22.59123055162659,58720000.0,0,1771875800.1929739,1022
-1609719400.364745,200,0.6483180428134556,25.304499781564,77610000.0,0,1771875800.2222967,1022
-1165268344.1512144,200,0.6007326007326007,24.75876504447933,72570000.0,0,1771875800.2506282,1022
-1192433844.6858408,200,0.6129032258064516,24.158986175115206,57700000.0,0,1771875800.2787848,1022
-2347186071.386661,200,0.735224586288416,25.781830462681526,70700000.0,0,1771875800.3087466,1022
-1269053213.4304392,200,0.6101083032490975,23.897885507993813,62690000.0,0,1771875800.4667864,1022
-2290684544.2917833,200,0.7480519480519481,25.505751391465676,55690000.0,0,1771875800.628371,1022
-2074543888.3391194,200,0.7040816326530612,26.499271137026238,87570000.0,0,1771875800.7895756,1022
-2867136644.1480722,200,0.7787418655097614,26.13511000929656,62690000.0,0,1771875800.9602692,1022
-856190534.8184285,200,0.5188284518828452,24.223550508069337,78630000.0,0,1771875801.1279054,1022
-2656021409.620061,200,0.7841726618705036,26.561836245289484,60670000.0,0,1771875801.2948587,1022
-2735113395.2349043,200,0.7522123893805309,26.902022756005056,85590000.0,0,1771875801.4511678,1022
-1039708794.195715,200,0.5736434108527132,24.219269102990033,70700000.0,0,1771875801.604943,1022
-3118365409.6157746,200,0.7763975155279503,25.952085181898845,63720000.0,0,1771875801.756616,1022
-1696635647.0211475,200,0.7008797653958945,26.025974025974026,71620000.0,0,1771875801.910945,1022
-1868156435.9106545,200,0.6816901408450704,24.52394366197183,62710000.0,0,1771875802.0709443,1022
-516058536.6239202,200,0.42021276595744683,23.79179331306991,77550000.0,0,1771875802.232334,1022
-2956603270.1099653,200,0.7714884696016772,26.21383647798742,69640000.0,0,1771875802.3902817,1022
-2874596709.2264347,200,0.7836134453781513,26.331332533013207,65680000.0,0,1771875802.5574346,1022
-214386758.91440618,200,0.2967741935483871,21.509677419354837,70690000.0,0,1771875802.7162044,1022
-279893422.24525154,200,0.34444444444444444,22.31904761904762,78610000.0,0,1771875802.8885245,1022
-544369245.9204366,200,0.42473118279569894,23.44546850998464,73630000.0,0,1771875803.0531662,1022
-36028013.62854484,200,0.1619718309859155,19.458752515090545,73710000.0,0,1771875803.2287285,1022
