n_drones,num_units,missiles_per_unit_avg,priority_strategy,weather_factor,terrain_factor,radar_jam,comm_jam_level,temp_factor,system_latency,resource_failure,formation,num_detected,detection_rate,num_intercepted,num_passed,success_rate,civil_risk,missiles_used
159,5,10.0,fastest_first,0.6798878068035136,0.75,0.17289827583697906,0.15228676506124902,0.8881796431891459,0.4530210849389966,0,spread,38,0.2389937106918239,5,154,0.031446540880503145,0.7261700497074774,20
157,5,10.0,fastest_first,0.8079964466518269,0.75,0.05474201397416948,0.2503544084724646,0.8879451031700224,1.180290685673109,0,medium,53,0.3375796178343949,21,136,0.1337579617834395,0.6403129159789837,42
160,5,10.0,fastest_first,0.7410130303911137,0.75,0.053735885758179114,0.20898981567471972,0.8163914729258438,0.15907844279469452,1,tight,44,0.275,0,160,0.0,0.7495704633076545,39
26,5,10.0,fastest_first,0.8838509606485149,0.75,0.17083724860494812,0.23978506545340691,0.9649400530833493,0.23593186647807118,0,tight,6,0.23076923076923078,1,25,0.038461538461538464,0.7133746181178585,6
11,5,10.0,fastest_first,0.8518464640098948,0.75,0.09693815448912996,0.23161743420349476,0.9523977785199579,0.8161309050094538,0,tight,3,0.2727272727272727,1,10,0.09090909090909091,0.6405949399391528,3
12,5,10.0,fastest_first,0.7106157693173025,0.75,0.09470852770151365,0.4905619333048155,0.9645757975414928,1.1241973945784605,0,spread,6,0.5,3,9,0.25,0.6020336534498675,6
123,5,10.0,fastest_first,0.9878572100545587,0.75,0.06321626565734269,0.3275283479488442,0.8098010411490879,1.6092828749366574,0,tight,43,0.34959349593495936,14,109,0.11382113821138211,0.6513966635765019,43
174,5,10.0,fastest_first,0.7138695646161441,0.75,0.04704151502138149,0.36496865051733035,0.9821087697199378,0.9334607534040271,0,spread,57,0.3275862068965517,14,160,0.08045977011494253,0.6764267257503092,42
169,5,10.0,fastest_first,0.931936709084701,0.75,0.07234536897252268,0.2349321801691879,0.9011932234860475,0.06201364773549778,0,tight,59,0.34911242603550297,19,150,0.11242603550295859,0.6537557124049335,46
102,5,10.0,fastest_first,0.6033210755556061,0.75,0.039911952984017215,0.16954605215926338,0.994908483067339,1.2540704266320746,0,tight,22,0.21568627450980393,8,94,0.0784313725490196,0.7024908984732041,22
116,5,10.0,fastest_first,0.6841114962965446,0.75,0.07434810699356496,0.23713157953034428,0.8846508136940447,1.6991818993016818,0,medium,33,0.28448275862068967,9,107,0.07758620689655173,0.6969224300771011,33
197,5,10.0,fastest_first,0.637644526755773,0.75,0.148322859602717,0.5508885081555531,0.9289361553350903,0.4848078202545647,0,spread,47,0.23857868020304568,10,187,0.050761421319796954,0.7029223908004341,47
29,5,10.0,fastest_first,0.9834735882851464,0.75,0.045999072377601084,0.1722936398737199,0.8718240644599773,0.4869704710583218,0,spread,11,0.3793103448275862,7,22,0.2413793103448276,0.5667671899797371,11
200,5,10.0,fastest_first,0.7331741331120728,0.75,0.017084793203451038,0.14791262420147655,0.8717085914924827,0.3679260211818942,0,spread,60,0.3,21,179,0.105,0.6789729903034997,58
119,5,10.0,fastest_first,0.6006444094231939,0.75,0.14890387870196783,0.4895366221006056,0.855949251562485,1.401948416225903,0,medium,28,0.23529411764705882,7,112,0.058823529411764705,0.7253797954736597,28
130,5,10.0,fastest_first,0.6034768057940395,0.75,0.11866447652442655,0.24479096704749928,0.9229366488326308,0.116850839214927,0,tight,32,0.24615384615384617,7,123,0.05384615384615385,0.7028699544684447,32
166,5,10.0,fastest_first,0.7749098592889033,0.75,0.03062872723863957,0.4908092554109897,0.92122984657598,0.7891255450750307,0,medium,61,0.3674698795180723,11,155,0.06626506024096386,0.69430537696857,36
112,5,10.0,fastest_first,0.6415205331558834,0.75,0.08850847070054427,0.1326108682484117,0.9877116014701044,0.8150140774911176,0,spread,33,0.29464285714285715,9,103,0.08035714285714286,0.6990491701353128,33
87,5,10.0,fastest_first,0.697552628744469,0.75,0.06464659461677248,0.23761968741904604,0.899695359651008,0.15618188100043118,0,medium,26,0.2988505747126437,9,78,0.10344827586206896,0.6680691245078754,26
191,5,10.0,fastest_first,0.9907943255782617,0.75,0.040010385698097,0.18383081863194772,0.964378561979887,1.6117164036553067,0,tight,78,0.4083769633507853,21,170,0.1099476439790576,0.6613833610784621,34
120,5,10.0,fastest_first,0.6842741101551679,0.75,0.1657752965428159,0.36481094043398327,0.8713067956076381,0.5676678241628574,0,medium,32,0.26666666666666666,7,113,0.058333333333333334,0.7231906072331231,32
144,5,10.0,fastest_first,0.8824884790245344,0.75,0.029025585778883742,0.11525542851045638,0.9617570426607057,1.1278066954588635,0,spread,60,0.4166666666666667,23,121,0.1597222222222222,0.6314449582092398,45
185,5,10.0,fastest_first,0.9003518411553066,0.75,0.10409171220410758,0.2840666007200525,0.859278268026461,0.1588678926499465,0,medium,66,0.3567567567567568,22,163,0.11891891891891893,0.655223252746163,58
166,5,10.0,fastest_first,0.9075989565634924,0.75,0.0335438016251751,0.3174613297715796,0.8980656332468436,0.4150488596407551,0,spread,76,0.4578313253012048,20,146,0.12048192771084337,0.6519254837506074,58
185,5,10.0,fastest_first,0.691847407363091,0.75,0.030418897228375902,0.03218264201301259,0.9137897395413737,1.6212186961774802,0,medium,48,0.2594594594594595,12,173,0.06486486486486487,0.6932981460854274,41
106,5,10.0,fastest_first,0.614422783240759,0.75,0.1776227457241814,0.3725310262921844,0.9004606196539104,0.9013013623614539,1,tight,22,0.20754716981132076,0,106,0.0,0.7462903015091402,22
101,5,10.0,fastest_first,0.6034236814946975,0.75,0.11654299403055948,0.13557911541161569,0.9172731518954993,0.6838459487480186,0,spread,19,0.18811881188118812,8,93,0.07920792079207921,0.6937275129073815,19
27,5,10.0,fastest_first,0.9642611585530457,0.75,0.10640826638039726,0.18837016623220898,0.9539436499754526,1.328633953165513,0,tight,10,0.37037037037037035,1,26,0.037037037037037035,0.7028758024003727,10
37,5,10.0,fastest_first,0.9384360049051179,0.75,0.057076608048256164,0.16574134209174793,0.8930122335569607,0.062148748492173,1,tight,14,0.3783783783783784,0,37,0.0,0.7562352575350687,14
49,5,10.0,fastest_first,0.6144416697507169,0.75,0.10959169637629702,0.22834137799780574,0.8940662684144787,1.0652090828561807,0,spread,12,0.24489795918367346,1,48,0.02040816326530612,0.7229436702504303,12
190,5,10.0,fastest_first,0.7785424655025881,0.75,0.08756143226461,0.15497200524548072,0.9077543822571263,0.8995000908205488,0,medium,51,0.26842105263157895,21,169,0.11052631578947368,0.6604155859215933,51
127,5,10.0,fastest_first,0.9708972467507861,0.75,0.07385089284282403,0.33751414814148156,0.8291935225795994,0.4135227929074399,0,medium,38,0.2992125984251969,17,110,0.13385826771653545,0.6388481554588256,38
142,5,10.0,fastest_first,0.9314537332272556,0.75,0.04820769691936775,0.2879265066818997,0.8119164185747688,0.0876122152371801,0,tight,54,0.38028169014084506,19,123,0.13380281690140844,0.6427918696188226,50
128,5,10.0,fastest_first,0.8397727549728693,0.75,0.0953076488393333,0.08120419653469943,0.8558458200587313,0.2904504243215409,0,tight,39,0.3046875,17,111,0.1328125,0.6374818776019862,39
184,5,10.0,fastest_first,0.9950005134619057,0.75,0.12300987277674422,0.149691918734431,0.8993364484889186,1.7035873418471519,0,tight,58,0.31521739130434784,21,163,0.11413043478260869,0.6719513610343547,46
105,5,10.0,fastest_first,0.8428620807252211,0.75,0.0514962760945011,0.3381927997833886,0.8746804158101638,1.34341806934923,0,tight,31,0.29523809523809524,12,93,0.11428571428571428,0.6719665575334597,31
162,5,10.0,fastest_first,0.9134797061760376,0.75,0.13517170303066173,0.4206090988847579,0.8720148542316748,0.4072979109301307,0,medium,51,0.3148148148148148,19,143,0.11728395061728394,0.6638074667347394,51
162,5,10.0,fastest_first,0.7064919404492295,0.75,0.09775104908295577,0.45219633709360096,0.9793509033195433,1.3331130813015508,0,medium,45,0.2777777777777778,25,137,0.15432098765432098,0.6251972574820854,45
15,5,10.0,fastest_first,0.6657595569849307,0.75,0.11373007101639096,0.33103554775892197,0.9735939914602606,1.7174652520557974,0,spread,3,0.2,2,13,0.13333333333333333,0.6596185034731763,3
142,5,10.0,fastest_first,0.8009062508063102,0.75,0.022928306117392865,0.50097518735748,0.8529310305298092,0.2079061149003012,0,spread,59,0.4154929577464789,18,124,0.1267605633802817,0.6555137044830462,59
120,5,10.0,fastest_first,0.6247070956037375,0.75,0.04335476559731306,0.28499790670697656,0.970819205651589,0.7776244471829827,0,medium,26,0.21666666666666667,6,114,0.05,0.7148310688461711,26
111,5,10.0,fastest_first,0.7879285908121326,0.75,0.04774465920307766,0.14387024092296488,0.9347828122347508,1.8497286404191289,0,tight,37,0.3333333333333333,11,100,0.0990990990990991,0.6817884695806565,37
165,5,10.0,fastest_first,0.8326256946409952,0.75,0.03235488578862637,0.7404495442257528,0.9739460627114795,0.45917786674859573,0,spread,65,0.3939393939393939,18,147,0.10909090909090909,0.6707605528874477,37
178,5,10.0,fastest_first,0.8304823595475536,0.75,0.22674566729825754,0.1434520979203856,0.8893140473926419,0.3345130311273299,0,spread,48,0.2696629213483146,15,163,0.08426966292134831,0.6971108360798128,46
159,5,10.0,fastest_first,0.6697298287095664,0.75,0.034858393342701244,0.4437380380658007,0.8415081900183288,1.9589161775943211,0,medium,51,0.32075471698113206,5,154,0.031446540880503145,0.7301307550687341,25
49,5,10.0,fastest_first,0.6435627192714449,0.75,0.037606152659162485,0.4174350436169114,0.906550803593345,1.7999817598726209,1,tight,13,0.2653061224489796,0,49,0.0,0.7270850952519428,13
143,5,10.0,fastest_first,0.6235382941975363,0.75,0.03420289878535053,0.27103350346731736,0.8819509866862032,0.6653446649687149,0,medium,42,0.2937062937062937,11,132,0.07692307692307693,0.6734301088082051,42
164,5,10.0,fastest_first,0.8918354034043661,0.75,0.08149564567546916,0.1961422316049731,0.9135083076698693,0.525340765095043,0,spread,66,0.4024390243902439,19,145,0.11585365853658537,0.6597655206266673,39
186,5,10.0,fastest_first,0.9873187307093502,0.75,0.026702469743665514,0.2771588775967204,0.894854108765775,1.9749734149386518,0,spread,93,0.5,31,155,0.16666666666666666,0.629942239904731,68
97,5,10.0,fastest_first,0.6260492649493425,0.75,0.05612564917484119,0.31404794211794146,0.8269743115486232,1.5148708786856786,0,tight,17,0.17525773195876287,3,94,0.030927835051546393,0.7306474586877607,17
186,5,10.0,fastest_first,0.65580995038338,0.75,0.027654054350152123,0.2897810999567135,0.9667622521868124,0.5798148017510938,0,medium,49,0.26344086021505375,13,173,0.06989247311827956,0.6892896230366481,31
35,5,10.0,fastest_first,0.8703086642160719,0.75,0.177655450906084,0.10656622692352084,0.9770996945981092,0.4889788341609538,0,spread,18,0.5142857142857142,9,26,0.2571428571428571,0.5358906484491931,18
18,5,10.0,fastest_first,0.9302977182349766,0.75,0.04880905708216343,0.6931992716486335,0.863862290941842,0.7486312002840714,0,spread,11,0.6111111111111112,4,14,0.2222222222222222,0.5928620601418725,11
75,5,10.0,fastest_first,0.6958058100524509,0.75,0.08308838264952713,0.12325670260130007,0.9426872919018338,0.0569748083861934,0,tight,23,0.30666666666666664,7,68,0.09333333333333334,0.6825258199749575,23
198,5,10.0,fastest_first,0.9134727128087764,0.75,0.09210081469180528,0.28038247791822324,0.9668216415699304,1.08820589310876,0,tight,63,0.3181818181818182,18,180,0.09090909090909091,0.6736547496727873,47
109,5,10.0,fastest_first,0.9479399964962748,0.75,0.11516741147462715,0.2922308429849367,0.9407282445090324,1.4801109815145308,0,spread,41,0.3761467889908257,15,94,0.13761467889908258,0.6573596713587695,41
134,5,10.0,fastest_first,0.8690934749439785,0.75,0.11622263810623155,0.7395870247992409,0.8898167679018287,1.4887045330081004,0,spread,50,0.373134328358209,15,119,0.11194029850746269,0.6612739574363868,47
68,5,10.0,fastest_first,0.700370750689758,0.75,0.03587827553994082,0.4279524619546712,0.9002823364788983,1.6885169901971704,0,medium,15,0.22058823529411764,2,66,0.029411764705882353,0.7442773991176929,15
108,5,10.0,fastest_first,0.7853259144480882,0.75,0.018630278587711185,0.1984980207436065,0.9523904425705279,0.21663625488293992,0,tight,28,0.25925925925925924,8,100,0.07407407407407407,0.6997898886393238,28
140,5,10.0,fastest_first,0.9680705832738408,0.75,0.08189095456556786,0.24788889504344488,0.8652226692858088,0.5190973007187685,0,spread,68,0.4857142857142857,4,136,0.02857142857142857,0.7236529471886699,24
127,5,10.0,fastest_first,0.8850177977304021,0.75,0.06385685439475998,0.506498612704692,0.8869291757854448,0.27477023327032435,1,tight,48,0.3779527559055118,0,127,0.0,0.7648580136785242,48
14,5,10.0,fastest_first,0.8951202862424736,0.75,0.03175761188400602,0.3513445075636896,0.8449895776218319,0.33577300275652355,0,spread,10,0.7142857142857143,4,10,0.2857142857142857,0.5257169018265541,10
136,5,10.0,fastest_first,0.8375361060757941,0.75,0.08732448641604121,0.21072626702817285,0.8687479843493076,0.19604934357869186,0,spread,47,0.34558823529411764,18,118,0.1323529411764706,0.6539385750710127,47
12,5,10.0,fastest_first,0.9355420480837815,0.75,0.09679381361388593,0.27034476380782624,0.8632118088860439,1.3742838639002783,0,spread,6,0.5,2,10,0.16666666666666666,0.5557630348223553,6
21,5,10.0,fastest_first,0.8188335707301786,0.75,0.03781107168153885,0.3040660777150913,0.909937245060425,0.804495253834816,0,spread,7,0.3333333333333333,3,18,0.14285714285714285,0.6316820040398766,7
131,5,10.0,fastest_first,0.7358535765218303,0.75,0.09863994693384101,0.2051887263849213,0.9822458877039694,1.2223437176716287,0,spread,52,0.3969465648854962,18,113,0.13740458015267176,0.6552886590125986,46
40,5,10.0,fastest_first,0.738394908621623,0.75,0.04057644029252156,0.1849460345042009,0.8362962024292262,0.46207063769944656,0,medium,8,0.2,3,37,0.075,0.6873914342325695,8
72,5,10.0,fastest_first,0.8705187294273922,0.75,0.10564516130899076,0.20296630186442294,0.8873345547989653,0.9073991729950557,0,spread,32,0.4444444444444444,8,64,0.1111111111111111,0.6672073854882962,32
181,5,10.0,fastest_first,0.6324311782229945,0.75,0.046981114090944645,0.2000219667264893,0.9132059137939724,0.6142888563890367,0,medium,54,0.2983425414364641,11,170,0.06077348066298342,0.6980977526288843,42
105,5,10.0,fastest_first,0.7773142103855198,0.75,0.09233764128126437,0.1189794400287856,0.9042080340436968,0.6833615304840865,0,spread,33,0.3142857142857143,11,94,0.10476190476190476,0.6726769680727864,33
170,5,10.0,fastest_first,0.6174255942596599,0.75,0.17060027877624862,0.16983616381999053,0.8756298491926549,0.684408820339885,0,spread,37,0.21764705882352942,3,167,0.01764705882352941,0.7339316275457111,37
145,5,10.0,fastest_first,0.9443023426106115,0.75,0.10401541904293973,0.4721367409126594,0.9535468180531725,1.4442646462956918,0,medium,47,0.32413793103448274,26,119,0.1793103448275862,0.6271253334082755,41
54,5,10.0,fastest_first,0.9922488254301335,0.75,0.05343340187769299,0.539239315684211,0.8372060436470232,1.356479703289199,0,spread,25,0.46296296296296297,9,45,0.16666666666666666,0.6096194353247317,25
75,5,10.0,fastest_first,0.7400115009651231,0.75,0.05844277446743497,0.1683700543693322,0.934123758096807,1.301652525670853,0,spread,16,0.21333333333333335,7,68,0.09333333333333334,0.6810972483901196,16
59,5,10.0,fastest_first,0.8808943842962197,0.75,0.13458821205592628,0.47653544890830707,0.9015668339258108,1.5802163223690031,0,tight,24,0.4067796610169492,8,51,0.13559322033898305,0.6531626025012053,24
157,5,10.0,fastest_first,0.9199395431459089,0.75,0.08593928340985027,0.25435926748963245,0.9909593083194331,1.3446678763272755,0,spread,58,0.36942675159235666,17,140,0.10828025477707007,0.6708114611811263,44
191,5,10.0,fastest_first,0.9137350444456152,0.75,0.09159749680151315,0.26011328566055075,0.9093456766425482,1.3728211608981653,0,tight,68,0.35602094240837695,21,170,0.1099476439790576,0.67689979390492,48
191,5,10.0,fastest_first,0.6977954404605687,0.75,0.15113111898008816,0.552453672779877,0.9619071558788097,1.2214646422778186,0,spread,51,0.2670157068062827,16,175,0.08376963350785341,0.6836617089811766,51
54,5,10.0,fastest_first,0.8281729415946467,0.75,0.0843877839937734,0.3567386117904596,0.9654560818465314,0.17985941964538665,0,tight,18,0.3333333333333333,5,49,0.09259259259259259,0.6835978801450177,18
60,5,10.0,fastest_first,0.7562702238660538,0.75,0.07646289740315931,0.2951135515470389,0.9330307986932005,1.4108704862870196,0,medium,18,0.3,8,52,0.13333333333333333,0.6328989615280751,18
174,5,10.0,fastest_first,0.8040015801079466,0.75,0.13744707410946405,0.33085117053875446,0.8423330790231376,0.26189006190320163,0,medium,50,0.28735632183908044,9,165,0.05172413793103448,0.7271135670740844,33
138,5,10.0,fastest_first,0.6177095821959622,0.75,0.17103286691318792,0.20395083543648795,0.8669214702613508,1.819961532721383,0,spread,35,0.2536231884057971,10,128,0.07246376811594203,0.6845593889759486,35
122,5,10.0,fastest_first,0.8914667269557706,0.75,0.09806539689508074,0.2766459612451046,0.9152572353024144,0.952098340123029,0,tight,34,0.2786885245901639,17,105,0.13934426229508196,0.6373393411889344,34
153,5,10.0,fastest_first,0.7356607937547528,0.75,0.02761620277417704,0.3360298555036305,0.8945699808763565,1.0068494961758059,0,spread,50,0.32679738562091504,10,143,0.06535947712418301,0.6941689633189625,47
188,5,10.0,fastest_first,0.7298096805405563,0.75,0.09263549240870077,0.3720884805812871,0.965012572939962,1.5077787701916703,0,spread,54,0.2872340425531915,14,174,0.07446808510638298,0.6911109566201649,46
53,5,10.0,fastest_first,0.9675062386263479,0.75,0.046066141002097695,0.0752996988009916,0.9258340479135239,1.0085239179281245,0,tight,19,0.3584905660377358,11,42,0.20754716981132076,0.5958975729592078,19
196,5,10.0,fastest_first,0.9094910794381647,0.75,0.02356746412402473,0.496970494112611,0.9206976773272808,1.3338306172235255,0,spread,85,0.4336734693877551,20,176,0.10204081632653061,0.6703892378532957,42
81,5,10.0,fastest_first,0.8428336137483912,0.75,0.1331465127218555,0.4991236282873682,0.8592444651931477,0.028735263703853597,0,tight,24,0.2962962962962963,6,75,0.07407407407407407,0.702463597929165,24
68,5,10.0,fastest_first,0.9283874305192901,0.75,0.06361947355842114,0.3070420604610148,0.8452134762624923,1.3647281353838858,0,tight,21,0.3088235294117647,8,60,0.11764705882352941,0.6730321695680661,21
37,5,10.0,fastest_first,0.9308038730429963,0.75,0.14743434361439345,0.19458483377935049,0.8253418359508015,0.6028870580172727,0,tight,11,0.2972972972972973,5,32,0.13513513513513514,0.6192232431174509,11
193,5,10.0,fastest_first,0.8624401575558889,0.75,0.035120023508594576,0.3234219555032213,0.8891352958959948,1.8698958320510526,0,tight,51,0.26424870466321243,18,175,0.09326424870466321,0.6842978152701611,51
112,5,10.0,fastest_first,0.6544068925947549,0.75,0.12982948273661662,0.20463793684830855,0.9805178458549235,1.9057265498971439,0,tight,32,0.2857142857142857,11,101,0.09821428571428571,0.668850641730195,32
114,5,10.0,fastest_first,0.9663977991661906,0.75,0.01853252035742795,0.5339769241567914,0.8945164726711257,0.33088398666923324,0,medium,46,0.40350877192982454,20,94,0.17543859649122806,0.606108879276455,46
58,5,10.0,fastest_first,0.8574118027664122,0.75,0.04995219115631044,0.10717421073580846,0.8790432962726823,1.1907246144237464,0,spread,16,0.27586206896551724,6,52,0.10344827586206896,0.6747266352502858,16
182,5,10.0,fastest_first,0.6382172048208749,0.75,0.08284325954262281,0.23732055048731845,0.9864644449761922,0.3029457687307253,0,tight,34,0.18681318681318682,9,173,0.04945054945054945,0.7135539291898528,34
82,5,10.0,fastest_first,0.7164818068271424,0.75,0.08608422393161592,0.24141930593820832,0.9866034091352696,0.00021599097913993504,0,spread,27,0.32926829268292684,13,69,0.15853658536585366,0.6432721208156017,27
116,5,10.0,fastest_first,0.7482737330067966,0.75,0.1031306066373279,0.33327096678575435,0.9280886461614145,1.2550424363054855,0,medium,38,0.3275862068965517,12,104,0.10344827586206896,0.6690588427803095,38
19,5,10.0,fastest_first,0.6343972453122187,0.75,0.16809512082799244,0.2975149678947153,0.8798820164477533,0.5760487830188112,0,tight,3,0.15789473684210525,0,19,0.0,0.7680444369416494,3
