n_drones,num_units,missiles_per_unit_avg,priority_strategy,weather_factor,terrain_factor,radar_jam,comm_jam_level,temp_factor,system_latency,resource_failure,formation,num_detected,detection_rate,num_intercepted,num_passed,success_rate,civil_risk,missiles_used
101,2,10.0,most_threat,0.9417540373478317,0.75,0.1161716676388242,0.665384573729862,0.8185662336056654,1.9396420901570894,0,tight,32,0.31683168316831684,11,90,0.10891089108910891,0.6759384461080938,21
135,2,10.0,most_threat,0.8271897189264322,0.75,0.17534253585703255,0.170026276168447,0.9426221542009753,1.647104453223638,0,spread,38,0.2814814814814815,14,121,0.1037037037037037,0.647842301239035,30
101,2,10.0,most_threat,0.7850441213027913,0.75,0.04553390377353765,0.2866971632897273,0.8167040294230993,0.06930141962803416,0,medium,23,0.22772277227722773,2,99,0.019801980198019802,0.7340047972887044,15
86,2,10.0,most_threat,0.6221329548653384,0.75,0.08459081220321446,0.40258254268631727,0.9031199300291158,1.0992446022120699,0,spread,23,0.26744186046511625,10,76,0.11627906976744186,0.6596345387446511,23
125,2,10.0,most_threat,0.7010274236550748,0.75,0.006971594591206569,0.44786241242279223,0.9710574916321669,0.8802553930926529,0,tight,37,0.296,1,124,0.008,0.7367687592792214,7
131,2,10.0,most_threat,0.7730569922416144,0.75,0.07088634987099282,0.24202975824538125,0.9145048598397137,0.3780341346691085,0,spread,45,0.3435114503816794,6,125,0.04580152671755725,0.7111167277089004,19
67,2,10.0,most_threat,0.9317146710122056,0.75,0.09400368313913098,0.4102014581370166,0.888803662849351,1.137940067522482,0,tight,16,0.23880597014925373,8,59,0.11940298507462686,0.638153323159313,16
67,2,10.0,most_threat,0.6104118199268539,0.75,0.036056680412148316,0.2990419165214602,0.9181877119973689,1.3897741716145602,0,medium,21,0.31343283582089554,3,64,0.04477611940298507,0.720220356379791,19
83,2,10.0,most_threat,0.9120826288804764,0.75,0.011479317688352595,0.31019371791051853,0.9488315577849924,1.1026750853981522,0,tight,24,0.2891566265060241,14,69,0.1686746987951807,0.6143969976721406,24
122,2,10.0,most_threat,0.7446221983481046,0.75,0.17827512177831725,0.45999056463283683,0.9357814715503736,1.5024603778161643,0,tight,30,0.2459016393442623,5,117,0.040983606557377046,0.72354326033018,14
129,2,10.0,most_threat,0.898699953006139,0.75,0.032356675581035235,0.21605276009628027,0.9388374336109736,1.1646632444680178,0,spread,44,0.34108527131782945,4,125,0.031007751937984496,0.7192236253896832,10
104,2,10.0,most_threat,0.6642160346407039,0.75,0.04883711464978364,0.1571813503451608,0.9084272307217783,0.17593156202611548,0,spread,30,0.28846153846153844,6,98,0.057692307692307696,0.6993585534418219,22
52,2,10.0,most_threat,0.614193362058279,0.75,0.02247275314088427,0.36842887951630443,0.8485428930026702,1.572381188130317,0,tight,15,0.28846153846153844,3,49,0.057692307692307696,0.694880166694573,15
88,2,10.0,most_threat,0.9885616612667838,0.75,0.11697683273180372,0.14329104681287028,0.9484583349252934,0.42685226793682207,0,tight,27,0.3068181818181818,13,75,0.14772727272727273,0.6268673129136265,21
84,2,10.0,most_threat,0.7388601884069623,0.75,0.10997584145608764,0.4633039878621533,0.88508633021754,1.9695991143386788,0,spread,29,0.34523809523809523,4,80,0.047619047619047616,0.7003143546910889,17
143,2,10.0,most_threat,0.6375267084576741,0.75,0.10954730298946207,0.4264932425137627,0.8824144459418747,0.7991996315852548,0,medium,36,0.2517482517482518,6,137,0.04195804195804196,0.720428097967781,30
111,2,10.0,most_threat,0.9730867056034336,0.75,0.12306283007695945,0.36675059650219205,0.8982210676486477,0.39628976219363543,0,medium,36,0.32432432432432434,8,103,0.07207207207207207,0.7019301901118021,19
