n_drones,num_detected,num_intercepted,num_passed,success_rate,civil_risk,missiles_used,detection_rate,weather_factor,terrain_factor,radar_jam,comm_jam_level,strategy,num_units,missiles_per_unit_avg
112,44,18,94,0.16071428571428573,0.49560079385575145,44,0.39285714285714285,0.9976557444884671,0.8309195949246893,0.13946789404832302,0.3406075978332259,fastest_first,5,10.0
46,14,7,39,0.15217391304347827,0.480113791897699,14,0.30434782608695654,0.6717013022957122,0.8469747952550783,0.06775554041573759,0.32014398505499075,fastest_first,5,10.0
80,33,11,69,0.1375,0.452257627248885,33,0.4125,0.8215293762534902,0.7564896749104537,0.13677653249068336,0.26269155356984625,fastest_first,5,10.0
57,23,5,52,0.08771929824561403,0.5134616585705398,23,0.40350877192982454,0.8692445392498114,0.9953744046966094,0.05352175132309337,0.41261371763878313,fastest_first,5,10.0
161,67,23,138,0.14285714285714285,0.46928495116692553,48,0.4161490683229814,0.9247252427783115,0.8709163568643299,0.05326975751298835,0.14274776743960593,fastest_first,5,10.0
67,19,9,58,0.13432835820895522,0.49126373098597337,19,0.2835820895522388,0.7068243760957441,0.7200721032689684,0.0796116872845812,0.2116796655192957,fastest_first,5,10.0
27,12,2,25,0.07407407407407407,0.4969662943605345,12,0.4444444444444444,0.8317071318300797,0.7893475393588233,0.127710400535568,0.36546723761932953,fastest_first,5,10.0
136,55,14,122,0.10294117647058823,0.49744260035013665,34,0.40441176470588236,0.7969025625515778,0.9492227670720914,0.057885576414071216,0.3277043741007638,fastest_first,5,10.0
200,45,11,189,0.055,0.537243498361026,45,0.225,0.6910248121279463,0.5834770028522227,0.10193971559430802,0.21983148703141323,fastest_first,5,10.0
184,31,10,174,0.05434782608695652,0.5521355276088208,31,0.16847826086956522,0.7163439895771724,0.5326371923508291,0.07405001173857514,0.5653956562963537,fastest_first,5,10.0
57,22,4,53,0.07017543859649122,0.5171569450331056,22,0.38596491228070173,0.7394889395201142,0.5994642068326399,0.06075110581306013,0.13300187494516685,fastest_first,5,10.0
144,71,14,130,0.09722222222222222,0.49401824123001387,40,0.4930555555555556,0.8669996478495943,0.9688699918368779,0.03251744985697445,0.15471003054816787,fastest_first,5,10.0
54,13,5,49,0.09259259259259259,0.5244959547435237,13,0.24074074074074073,0.6466789332571893,0.5072013131740767,0.09271562518606143,0.10773636102703879,fastest_first,5,10.0
172,60,13,159,0.0755813953488372,0.5238663731599498,31,0.3488372093023256,0.7635567338821565,0.9311447872975642,0.19894151073327254,0.09502877042478022,fastest_first,5,10.0
48,24,8,40,0.16666666666666666,0.4764452718705179,24,0.5,0.8136053431453188,0.7691085853065824,0.08677208379982618,0.24615839058068695,fastest_first,5,10.0
160,37,14,146,0.0875,0.5047944069159896,37,0.23125,0.7202273565566777,0.5994863592874982,0.09072657483036033,0.6103160630202369,fastest_first,5,10.0
32,16,7,25,0.21875,0.45270927543703304,16,0.5,0.987854727600523,0.9012882993728828,0.06744800661214889,0.1983370389244633,fastest_first,5,10.0
89,41,21,68,0.23595505617977527,0.4562524503397482,41,0.4606741573033708,0.9474016467827453,0.9128354301715746,0.14188385426437045,0.12865453567005625,fastest_first,5,10.0
152,68,24,128,0.15789473684210525,0.4634631036804538,58,0.4473684210526316,0.9857194274067049,0.7009354010002735,0.0887544634898364,0.06780791495051805,fastest_first,5,10.0
72,22,12,60,0.16666666666666666,0.47514215531393944,22,0.3055555555555556,0.8411463900897836,0.6081935033210251,0.052696735730812336,0.26965037596992936,fastest_first,5,10.0
116,62,21,95,0.1810344827586207,0.45211605819971074,43,0.5344827586206896,0.9931608304671924,0.9436657328834006,0.10385841266471467,0.2693923656695732,fastest_first,5,10.0
172,62,10,162,0.05813953488372093,0.530174770310387,28,0.36046511627906974,0.8343440977586496,0.879122613977549,0.18196451244114895,0.45121713113805884,fastest_first,5,10.0
97,33,10,87,0.10309278350515463,0.4929174225164795,33,0.3402061855670103,0.8036095905018276,0.9032888255440459,0.1341945905892922,0.4012272494045956,fastest_first,5,10.0
93,24,6,87,0.06451612903225806,0.5215868761151758,24,0.25806451612903225,0.6849430350639071,0.776604110232193,0.12391150795861663,0.6749503935999589,fastest_first,5,10.0
160,54,13,147,0.08125,0.5264625969436605,53,0.3375,0.6615906300534037,0.9547916359839037,0.08300640555729935,0.6813012520282408,fastest_first,5,10.0
174,46,11,163,0.06321839080459771,0.5122877942784797,40,0.26436781609195403,0.6474811027020411,0.8434350973241334,0.06988616352309374,0.3580920603789849,fastest_first,5,10.0
57,11,4,53,0.07017543859649122,0.5410274207892415,11,0.19298245614035087,0.6482453497757023,0.5041695500020039,0.07641672481204657,0.23766419234796538,fastest_first,5,10.0
61,21,7,54,0.11475409836065574,0.5032272431411151,21,0.3442622950819672,0.7355814310289676,0.8511781163168326,0.05454513061263832,0.26655169781627436,fastest_first,5,10.0
50,10,6,44,0.12,0.5077525765898986,10,0.2,0.8471322474646683,0.6049544441039839,0.11005333599275202,0.12697803420675116,fastest_first,5,10.0
35,9,2,33,0.05714285714285714,0.5400529924108041,9,0.2571428571428571,0.7760409355892325,0.9233520943198973,0.09429124919784937,0.1927007019615777,fastest_first,5,10.0
69,14,6,63,0.08695652173913043,0.5375142327867194,14,0.2028985507246377,0.9633804774281759,0.5841411884532874,0.04373528076677529,0.5926032353404811,fastest_first,5,10.0
168,91,18,150,0.10714285714285714,0.4889143332235382,44,0.5416666666666666,0.8728435737268652,0.9859364772937549,0.030860567493297797,0.09101757519250432,fastest_first,5,10.0
24,9,6,18,0.25,0.39991495259190457,9,0.375,0.6856728401776369,0.8963698420321458,0.10624886563192723,0.25841848360092134,fastest_first,5,10.0
140,49,17,123,0.12142857142857143,0.5099465381765365,49,0.35,0.8127754463456653,0.704971656284545,0.039605455275218415,0.1385770348691728,fastest_first,5,10.0
106,46,16,90,0.1509433962264151,0.4811395886206326,46,0.4339622641509434,0.9383390382802005,0.8437787087397608,0.03254698785274947,0.39231179448046394,fastest_first,5,10.0
112,31,11,101,0.09821428571428571,0.5071224890026674,31,0.2767857142857143,0.7658443525445447,0.9934458604367402,0.18963449555035392,0.13618807305949088,fastest_first,5,10.0
66,27,11,55,0.16666666666666666,0.45547501321941536,27,0.4090909090909091,0.8125636970403497,0.8491357319572391,0.04648087414313701,0.0915207338953106,fastest_first,5,10.0
112,34,11,101,0.09821428571428571,0.5027704567056549,28,0.30357142857142855,0.7696822018568094,0.7906489949594464,0.040483294152239536,0.23219748763862041,fastest_first,5,10.0
193,61,20,173,0.10362694300518134,0.5085850686206353,48,0.3160621761658031,0.9201831681908917,0.5778617414265117,0.07636361391681724,0.24378430067911583,fastest_first,5,10.0
180,36,17,163,0.09444444444444444,0.5091117366732021,36,0.2,0.8213364319266648,0.549871652701641,0.08976101756987687,0.2889058929363401,fastest_first,5,10.0
40,22,9,31,0.225,0.41963590331627093,22,0.55,0.8610881741560088,0.878886167575355,0.001738565954817373,0.15668024869328756,fastest_first,5,10.0
42,14,6,36,0.14285714285714285,0.47961506228743966,14,0.3333333333333333,0.9766710345067194,0.5486708066826875,0.023495126674960936,0.5548705200202029,fastest_first,5,10.0
29,12,2,27,0.06896551724137931,0.4978248429005732,12,0.41379310344827586,0.6247769308783458,0.9000793110364791,0.06635131924066329,0.18978337250290428,fastest_first,5,10.0
139,54,10,129,0.07194244604316546,0.5409438363076481,54,0.38848920863309355,0.9604251320902497,0.7193301000204839,0.05098509589648378,0.006880446769383555,fastest_first,5,10.0
41,8,3,38,0.07317073170731707,0.5330528581730148,8,0.1951219512195122,0.8592195100069477,0.68142429889414,0.0551901923970842,0.4646155674759389,fastest_first,5,10.0
179,44,12,167,0.0670391061452514,0.5100133848081465,44,0.24581005586592178,0.8832681116697194,0.6051246512950487,0.08896832856350474,0.40405594661159466,fastest_first,5,10.0
128,28,8,120,0.0625,0.538039491936298,28,0.21875,0.9676603098232088,0.5481127177722371,0.046404289468237804,0.29189863134503585,fastest_first,5,10.0
33,7,3,30,0.09090909090909091,0.502193641111619,7,0.21212121212121213,0.936588447123481,0.7600216732075471,0.08085316303338257,0.4626027225138745,fastest_first,5,10.0
172,43,5,167,0.029069767441860465,0.545056653900815,25,0.25,0.6582766823923494,0.7473384898470732,0.1726370662354636,0.2970739928106747,fastest_first,5,10.0
51,25,9,42,0.17647058823529413,0.4629095987863492,25,0.49019607843137253,0.8114641201667738,0.9483528629221167,0.10123528830794554,0.19690642113002785,fastest_first,5,10.0
26,11,5,21,0.19230769230769232,0.4473862343741546,11,0.4230769230769231,0.9857457617184666,0.9597562532777897,0.14112870527922314,0.3676112202012572,fastest_first,5,10.0
122,50,7,115,0.05737704918032787,0.5208027373497417,39,0.4098360655737705,0.7474316688023268,0.9775193310915576,0.12010334721168435,0.07784966401542809,fastest_first,5,10.0
137,55,12,125,0.08759124087591241,0.5052013324302028,42,0.40145985401459855,0.6972981865523569,0.9355503207565107,0.05820361109129382,0.32183436040446417,fastest_first,5,10.0
166,51,21,145,0.12650602409638553,0.4951085173621498,50,0.3072289156626506,0.8045394847854872,0.5580630026787905,0.10709491251583261,0.0640759490481005,fastest_first,5,10.0
72,18,9,63,0.125,0.503560955606822,18,0.25,0.617245614842633,0.5509568579317377,0.07901218841096683,0.5588361366325448,fastest_first,5,10.0
29,13,5,24,0.1724137931034483,0.45282172501978646,13,0.4482758620689655,0.9608792680461404,0.6346083458787366,0.014289012955832714,0.3154359215687189,fastest_first,5,10.0
192,37,14,178,0.07291666666666667,0.5286602101484494,37,0.19270833333333334,0.8624146978687073,0.5048464034101652,0.10211193381508075,0.3843377524576483,fastest_first,5,10.0
27,3,1,26,0.037037037037037035,0.5688943724959775,3,0.1111111111111111,0.6758232116959999,0.5115740132168705,0.04013207182310765,0.21731451646298955,fastest_first,5,10.0
131,59,14,117,0.10687022900763359,0.5110768597227794,49,0.45038167938931295,0.8717704533166637,0.9042900029587562,0.010362511997783524,0.3521429647672355,fastest_first,5,10.0
