n_drones,num_units,missiles_per_unit_avg,priority_strategy,weather_factor,terrain_factor,radar_jam,comm_jam_level,temp_factor,system_latency,resource_failure,formation,num_detected,detection_rate,num_intercepted,num_passed,success_rate,civil_risk,missiles_used
101,6,10.0,most_threat,0.7586639105374248,0.75,0.1083969773251862,0.6178953521390482,0.9306729378345102,0.7587171798448475,0,tight,25,0.24752475247524752,11,90,0.10891089108910891,0.6742169075754857,25
79,6,10.0,most_threat,0.7836756934930247,0.75,0.027141027467040033,0.3167424606689156,0.9874270072399736,1.4648277296253371,0,tight,19,0.24050632911392406,8,71,0.10126582278481013,0.6783107279791888,19
74,6,10.0,most_threat,0.7669579129316592,0.75,0.0788760379208067,0.5352020884821432,0.9075413201257079,0.24769205341163492,0,tight,21,0.28378378378378377,6,68,0.08108108108108109,0.678649669302834,21
149,6,10.0,most_threat,0.9206477943928134,0.75,0.11629565147099694,0.12362567751088191,0.9064729086159685,0.010797084367354826,0,spread,51,0.3422818791946309,17,132,0.11409395973154363,0.6589683971635991,48
126,6,10.0,most_threat,0.6084689454941513,0.75,0.039067760628449806,0.6500240558472651,0.986449953472543,0.5375625963232082,0,tight,26,0.20634920634920634,6,120,0.047619047619047616,0.7151383992018395,26
102,6,10.0,most_threat,0.7139201496998203,0.75,0.05052666874201004,0.11173524728814105,0.9631721535756568,0.5216168543855526,0,medium,25,0.24509803921568626,9,93,0.08823529411764706,0.6845655314595505,25
105,6,10.0,most_threat,0.9753348810485836,0.75,0.07979361828733371,0.0294096483877585,0.9508451985078413,1.2812778426402454,0,medium,47,0.44761904761904764,22,83,0.20952380952380953,0.5786632861314662,40
55,6,10.0,most_threat,0.6606826462015594,0.75,0.09101853619248641,0.31234994724343457,0.9282372108052765,0.5630700802137887,0,spread,14,0.2545454545454545,1,54,0.01818181818181818,0.7382446947079004,14
126,6,10.0,most_threat,0.9372173746686814,0.75,0.04682834491143085,0.4090758183252371,0.9127347195625761,0.8978534185377889,0,spread,58,0.4603174603174603,22,104,0.1746031746031746,0.6056614149140336,49
71,6,10.0,most_threat,0.7279109156195599,0.75,0.1530715886667112,0.24281887988673856,0.8979472582266892,0.22499591562777077,0,medium,19,0.2676056338028169,9,62,0.1267605633802817,0.6427517935574332,19
83,6,10.0,most_threat,0.7459897338810274,0.75,0.08953046969815563,0.44848090673876584,0.9379738314802839,0.3628122880043809,0,tight,16,0.1927710843373494,1,82,0.012048192771084338,0.7370496495642171,16
111,6,10.0,most_threat,0.960669530090794,0.75,0.06833795590363148,0.205832725690423,0.849449064197914,0.39403175923003864,0,tight,29,0.26126126126126126,15,96,0.13513513513513514,0.6539306657187532,29
127,6,10.0,most_threat,0.9790781127568252,0.75,0.13634129453738109,0.5724048656987667,0.8028787767315992,0.11236071943622239,0,spread,54,0.4251968503937008,21,106,0.16535433070866143,0.6166082490804967,54
79,6,10.0,most_threat,0.7498886840769351,0.75,0.14385758761578554,0.1278827164930541,0.8311245618774874,0.6534573811750124,0,spread,30,0.379746835443038,6,73,0.0759493670886076,0.6836358099849517,30
99,6,10.0,most_threat,0.9694704180042851,0.75,0.0908966609903106,0.2272697742373925,0.9149650042989794,1.6778641471253322,0,tight,33,0.3333333333333333,20,79,0.20202020202020202,0.5923557446204633,33
104,6,10.0,most_threat,0.8046907790079953,0.75,0.030156372347996684,0.634647831806153,0.9030589130708808,1.4280151162053503,0,spread,35,0.33653846153846156,10,94,0.09615384615384616,0.6650289248886148,35
69,6,10.0,most_threat,0.6692190374459622,0.75,0.06745981238477543,0.3066628561866806,0.9006747307386556,1.8132581965450858,0,spread,31,0.4492753623188406,11,58,0.15942028985507245,0.6377475802507475,31
150,6,10.0,most_threat,0.8356179351926813,0.75,0.06263750689490702,0.05342788414272363,0.9220289247568171,0.07040291238046947,0,spread,58,0.38666666666666666,22,128,0.14666666666666667,0.6447610429844471,58
141,6,10.0,most_threat,0.7552746750831566,0.75,0.061637671860372195,0.23293747326003728,0.9841060261929722,1.7888069387019254,0,spread,44,0.3120567375886525,14,127,0.09929078014184398,0.6768718404897048,44
