n_drones,num_detected,num_intercepted,num_passed,success_rate,civil_risk,missiles_used,detection_rate,weather_factor,terrain_factor,radar_jam,comm_jam_level,strategy,num_units,missiles_per_unit_avg
87,28,14,73,0.16091954022988506,0.47018367204343253,28,0.3218390804597701,0.9679748268716978,0.6162664736926423,0.14228211469229574,0.11788711462904665,random,5,10.0
137,36,19,118,0.1386861313868613,0.4707963898162248,36,0.26277372262773724,0.9817301862715134,0.6152875275627814,0.03844324190263125,0.8096854328890339,random,5,10.0
119,33,12,107,0.10084033613445378,0.48624745275050824,33,0.2773109243697479,0.6504287099521034,0.8606362363015503,0.10892816404780502,0.43032400553907535,random,5,10.0
177,83,29,148,0.1638418079096045,0.46398975796608377,58,0.4689265536723164,0.8989364242878359,0.9707798672519984,0.21259767472878108,0.16287512881450397,random,5,10.0
10,3,1,9,0.1,0.4674884650359596,3,0.3,0.7776254205376945,0.7756357703498777,0.09252844059870677,0.3090438475697048,random,5,10.0
145,60,15,130,0.10344827586206896,0.4859565660223081,53,0.41379310344827586,0.704521433962326,0.916193416774852,0.04233239067584112,0.40108063049191467,random,5,10.0
125,46,16,109,0.128,0.48348760893319725,46,0.368,0.6589172324266996,0.960710427865956,0.07331622804998239,0.1123071844918556,random,5,10.0
55,14,3,52,0.05454545454545454,0.5225039395792848,14,0.2545454545454545,0.8873197852124105,0.6393509638727503,0.06287438950704001,0.09153583510199062,random,5,10.0
80,32,18,62,0.225,0.43597387242262753,32,0.4,0.9669563030099584,0.8450750331427974,0.1668126723864143,0.19185543447639217,random,5,10.0
115,44,11,104,0.09565217391304348,0.5293417890707907,44,0.3826086956521739,0.6999932925270942,0.8320603588836686,0.045386969871514055,0.3100824874068483,random,5,10.0
13,5,3,10,0.23076923076923078,0.3972270067406731,5,0.38461538461538464,0.7548397381639722,0.696905273472638,0.11544849221483165,0.17001138264306634,random,5,10.0
44,16,4,40,0.09090909090909091,0.5055049622661335,16,0.36363636363636365,0.7286791478787067,0.866191113168861,0.10699558361352159,0.29136036270982396,random,5,10.0
30,14,4,26,0.13333333333333333,0.4697120924194439,14,0.4666666666666667,0.8199357253229982,0.9340034431375526,0.12444126934493656,0.4186344428288116,random,5,10.0
20,5,2,18,0.1,0.49430238194747833,5,0.25,0.6465916599432288,0.9713459547843334,0.11568011656885085,0.31874842612506726,random,5,10.0
70,24,6,64,0.08571428571428572,0.5365395874521285,24,0.34285714285714286,0.6101531784248516,0.9644334455756332,0.12640726662561821,0.18558954210419576,random,5,10.0
49,17,6,43,0.12244897959183673,0.5179459228338485,17,0.3469387755102041,0.7979466876325925,0.6986226923934772,0.04453496359809809,0.220054961384031,random,5,10.0
177,66,24,153,0.13559322033898305,0.46967805594716766,52,0.3728813559322034,0.7235957619955907,0.9057657702655708,0.042865163054586215,0.3108587532987489,random,5,10.0
23,9,4,19,0.17391304347826086,0.45047813147507876,9,0.391304347826087,0.8335834504579634,0.6308894146318189,0.05580016308920524,0.26329738727532725,random,5,10.0
128,50,21,107,0.1640625,0.46336199674161505,43,0.390625,0.9358626026280936,0.703608667716945,0.07602555041354474,0.26734605178936716,random,5,10.0
55,18,5,50,0.09090909090909091,0.49933775980460626,18,0.32727272727272727,0.7464621463550317,0.659877262075752,0.05003360841272105,0.18968710500143796,random,5,10.0
185,67,19,166,0.10270270270270271,0.5227767531062157,39,0.3621621621621622,0.980342636663935,0.6418383442596561,0.10588115100361707,0.555332883905807,random,5,10.0
118,43,14,104,0.11864406779661017,0.49681771999721935,43,0.3644067796610169,0.8026584415902496,0.8178774124058512,0.017565051292884257,0.09957633276059578,random,5,10.0
177,41,10,167,0.05649717514124294,0.5250780827920501,41,0.23163841807909605,0.6008627671490591,0.8170866616943393,0.0987495077940823,0.1378409693262082,random,5,10.0
183,47,14,169,0.07650273224043716,0.5234041645545268,33,0.2568306010928962,0.7132156719016192,0.5777860269299933,0.07802036469531347,0.0027306472204109036,random,5,10.0
191,76,12,179,0.06282722513089005,0.5378184463947466,39,0.39790575916230364,0.7363017768619242,0.9722672098440535,0.06475826423696003,0.02674167563489049,random,5,10.0
129,50,14,115,0.10852713178294573,0.48586510703481683,37,0.3875968992248062,0.8564723865392755,0.8356077972121023,0.12198759566837099,0.18966651593178174,random,5,10.0
111,27,9,102,0.08108108108108109,0.5101965483984182,27,0.24324324324324326,0.7219975747395255,0.5716006714688935,0.05454126855432822,0.2044106874328971,random,5,10.0
137,46,20,117,0.145985401459854,0.5015830939547633,46,0.3357664233576642,0.8611597569873182,0.6634954006293958,0.06230106280641252,0.38568990030048506,random,5,10.0
77,28,12,65,0.15584415584415584,0.476821595445788,28,0.36363636363636365,0.8972882140859255,0.5772732313039659,0.14235133182548093,0.3909526286113513,random,5,10.0
122,38,12,110,0.09836065573770492,0.4976816426358555,38,0.3114754098360656,0.9961750891043601,0.6226166493815836,0.1596648175031716,0.6316086841137136,random,5,10.0
178,51,21,157,0.11797752808988764,0.4997638699777112,51,0.28651685393258425,0.9670578822538844,0.5579770800011414,0.09671504721805028,0.4153022673265683,random,5,10.0
89,27,7,82,0.07865168539325842,0.5251659068346921,21,0.30337078651685395,0.755557629363846,0.7272360402641745,0.05372713646674603,0.5300832479790526,random,5,10.0
190,56,16,174,0.08421052631578947,0.5073418559137959,42,0.29473684210526313,0.8752207556749869,0.5771996939176713,0.08296381953495492,0.3076074804791712,random,5,10.0
10,2,1,9,0.1,0.5090063550345372,2,0.2,0.8068790706891832,0.8864783732448505,0.0709841240390368,0.4326813304191285,random,5,10.0
188,114,22,166,0.11702127659574468,0.4997686320057513,46,0.6063829787234043,0.9230753075102136,0.96497273715935,0.02919152428181014,0.25305981864949184,random,5,10.0
