n_drones,num_units,missiles_per_unit_avg,priority_strategy,weather_factor,terrain_factor,radar_jam,comm_jam_level,temp_factor,system_latency,resource_failure,formation,num_detected,detection_rate,num_intercepted,num_passed,success_rate,civil_risk,missiles_used
101,4,10.0,most_threat,0.8608492982121752,0.75,0.13714046814345962,0.035753151791343744,0.8703388908347048,1.3387808029187227,0,tight,24,0.2376237623762376,12,89,0.1188118811881188,0.6713836938589461,24
57,4,10.0,most_threat,0.6218537680003889,0.75,0.07257967218600142,0.36185958575445887,0.9497355494633255,0.3632279355132053,0,tight,10,0.17543859649122806,1,56,0.017543859649122806,0.7280110573731774,10
108,4,10.0,most_threat,0.947669942961235,0.75,0.030423833133474368,0.2900550598873412,0.9226878379448353,0.6231434791644579,0,spread,41,0.37962962962962965,23,85,0.21296296296296297,0.566530655373871,41
75,4,10.0,most_threat,0.6266639319293225,0.75,0.137354324068774,0.3422103355759176,0.9481646599021927,1.9346562227069395,0,spread,19,0.25333333333333335,6,69,0.08,0.7011474651613907,19
104,4,10.0,most_threat,0.691224726760008,0.75,0.08213782775139564,0.1828247080378786,0.9115618845192199,0.5401169322031114,0,spread,30,0.28846153846153844,9,95,0.08653846153846154,0.6819427357637616,30
114,4,10.0,most_threat,0.8445269548212325,0.75,0.06510020826648155,0.18064386062085339,0.8328576035685744,1.50494618187152,1,tight,41,0.35964912280701755,0,114,0.0,0.7471492032509507,41
74,4,10.0,most_threat,0.6301285728669619,0.75,0.028845226731079327,0.44565044762144385,0.8550877466239063,1.732467245717845,0,spread,20,0.2702702702702703,5,69,0.06756756756756757,0.6919393780010419,20
139,4,10.0,most_threat,0.9419113385182317,0.75,0.0934596194039894,0.13885806935403325,0.9672589064995278,0.4386563680618383,0,medium,56,0.4028776978417266,26,113,0.18705035971223022,0.6014111823668272,47
138,4,10.0,most_threat,0.6695203818154272,0.75,0.04719446633929749,0.36774883231142014,0.8929734265236092,1.2622737924155971,0,spread,48,0.34782608695652173,15,123,0.10869565217391304,0.6647577256268186,48
94,4,10.0,most_threat,0.8608263278741111,0.75,0.12158119517433474,0.6835158674623917,0.8874724479113973,1.9261282255260406,0,medium,37,0.39361702127659576,11,83,0.11702127659574468,0.6511902883486063,32
108,4,10.0,most_threat,0.7834233929162608,0.75,0.03515494411846692,0.49603219281020083,0.9322572182123858,0.1627881760157881,0,medium,34,0.3148148148148148,14,94,0.12962962962962962,0.6607158237241016,34
53,4,10.0,most_threat,0.7220379924614051,0.75,0.026497312132445192,0.04110175979462906,0.9710152232840707,0.18193969685371214,0,tight,13,0.24528301886792453,4,49,0.07547169811320754,0.7199164633500227,13
55,4,10.0,most_threat,0.935974912207871,0.75,0.08128231870398664,0.5061859998336034,0.9886504494865886,0.926702187437739,0,medium,23,0.41818181818181815,11,44,0.2,0.6123667808440787,22
133,4,10.0,most_threat,0.8544545014844107,0.75,0.05098879557513291,0.043831789314342416,0.9710116930025128,0.0522246967231772,0,spread,49,0.3684210526315789,19,114,0.14285714285714285,0.6374753090414048,45
141,4,10.0,most_threat,0.7005484516962004,0.75,0.11037966658312168,0.2801566487969688,0.938369400146291,0.583763754187111,0,spread,52,0.36879432624113473,19,122,0.1347517730496454,0.6515603623887103,45
71,4,10.0,most_threat,0.6039848758941294,0.75,0.0464580483941416,0.6447710120212392,0.8889695662500412,0.388254279335597,0,medium,17,0.23943661971830985,3,68,0.04225352112676056,0.7172115985208781,17
146,4,10.0,most_threat,0.8812031270948573,0.75,0.1302795284401847,0.4133856493804585,0.9134643504367297,1.6056404106829096,0,spread,53,0.363013698630137,14,132,0.0958904109589041,0.6775208248555106,30
93,4,10.0,most_threat,0.893673467811241,0.75,0.08757831329155545,0.5192534621416426,0.932829371232718,0.5280235358939545,0,medium,40,0.43010752688172044,15,78,0.16129032258064516,0.6221405386264645,34
61,4,10.0,most_threat,0.604689247078677,0.75,0.026965685303264427,0.17645787459200896,0.8744797953468464,1.6119267329895661,0,spread,16,0.26229508196721313,5,56,0.08196721311475409,0.6717187539351691,16
106,4,10.0,most_threat,0.8360581371346218,0.75,0.09587369598709171,0.7268915757305894,0.994398782599555,0.6040652732486937,0,tight,27,0.25471698113207547,11,95,0.10377358490566038,0.6748354204121718,27
121,4,10.0,most_threat,0.8585828873109285,0.75,0.18158497492321304,0.1132089646220198,0.9812656425539981,1.6399336888247618,0,spread,47,0.3884297520661157,23,98,0.19008264462809918,0.6125913891192678,45
59,4,10.0,most_threat,0.9371012207872655,0.75,0.04187681874738081,0.33911714111081825,0.8514667552602967,1.1086359268472472,0,medium,27,0.4576271186440678,13,46,0.22033898305084745,0.5734781504674534,27
84,4,10.0,most_threat,0.6757175896257657,0.75,0.1620162433350507,0.14181672711700213,0.9121039073512232,0.15535613897520362,0,medium,25,0.2976190476190476,11,73,0.13095238095238096,0.6306905422072414,25
55,4,10.0,most_threat,0.6422643392561653,0.75,0.047523205972736855,0.3844164640934535,0.8670858418758841,1.2288462424183975,0,tight,14,0.2545454545454545,6,49,0.10909090909090909,0.6420002435636818,14
91,4,10.0,most_threat,0.6970984756300638,0.75,0.176270511169516,0.169833325441301,0.8831925387023333,0.19116816233350065,0,spread,27,0.2967032967032967,5,86,0.054945054945054944,0.7055173423839671,27
119,4,10.0,most_threat,0.8893880693250216,0.75,0.13604136537043962,0.5915834547174816,0.9555906050501926,0.12097725903341039,0,spread,42,0.35294117647058826,22,97,0.18487394957983194,0.609845913053321,41
99,4,10.0,most_threat,0.633498660939824,0.75,0.06446836221265244,0.508890923187982,0.9906293568925661,0.18987278541746644,0,spread,29,0.29292929292929293,12,87,0.12121212121212122,0.6322294867851023,29
61,4,10.0,most_threat,0.8850734162314541,0.75,0.08031039889510873,0.2514732409379633,0.968418787086615,1.933220402046668,0,tight,17,0.2786885245901639,6,55,0.09836065573770492,0.6639309194133288,17
116,4,10.0,most_threat,0.8261063481574854,0.75,0.07040797485803142,0.6147933557658091,0.9634056287770059,0.5925390668326809,0,medium,38,0.3275862068965517,15,101,0.12931034482758622,0.6628056733502814,38
60,4,10.0,most_threat,0.9532162375173021,0.75,0.07823448774980067,0.5755130847150659,0.9074637622985413,1.6156494986704282,0,medium,25,0.4166666666666667,16,44,0.26666666666666666,0.5465096413230454,25
104,4,10.0,most_threat,0.7555348369410886,0.75,0.0711719280374878,0.11327292166164657,0.8514929734716463,1.1499338272799493,0,spread,36,0.34615384615384615,6,98,0.057692307692307696,0.6954765864654343,29
87,4,10.0,most_threat,0.754774760420807,0.75,0.02070740150130061,0.7396780662623084,0.9602876261594503,1.5228205291248407,0,spread,25,0.28735632183908044,8,79,0.09195402298850575,0.667843433737226,25
146,4,10.0,most_threat,0.8288560597770327,0.75,0.039927505151687866,0.293777210385038,0.8845240846100139,1.9813234167173956,0,medium,56,0.3835616438356164,8,138,0.0547945205479452,0.6952407884595316,21
50,4,10.0,most_threat,0.9029320073074389,0.75,0.11563359990917789,0.1422292559007896,0.9551040428171798,0.5520869853034993,0,medium,17,0.34,6,44,0.12,0.6714443629845108,17
140,4,10.0,most_threat,0.6947385749216486,0.75,0.12205041467843275,0.4047977699277023,0.9475940162453758,0.9613349751472762,0,spread,36,0.2571428571428571,8,132,0.05714285714285714,0.6998633850817928,36
83,4,10.0,most_threat,0.7829502360927145,0.75,0.05428413388307398,0.5486174811353981,0.9357907596835175,0.11256918844053665,0,spread,36,0.43373493975903615,7,76,0.08433734939759036,0.6975923839058933,24
87,4,10.0,most_threat,0.9383078555063299,0.75,0.0956309166755627,0.2467849316521475,0.9869072948757854,0.6958105112867652,0,tight,26,0.2988505747126437,13,74,0.14942528735632185,0.641004901714012,26
85,4,10.0,most_threat,0.895484699542227,0.75,0.1486063443607808,0.09018562795416148,0.9293620400291848,1.6591105281574798,1,medium,22,0.25882352941176473,0,85,0.0,0.7480857644055298,22
150,4,10.0,most_threat,0.8338929838641358,0.75,0.148595221182689,0.4363618231382282,0.9721341135362844,0.7217039313685161,0,spread,53,0.35333333333333333,11,139,0.07333333333333333,0.6765144276027232,28
104,4,10.0,most_threat,0.9678719457062883,0.75,0.1944922704109716,0.6847019423883856,0.8848929918846201,0.572426444397274,0,tight,31,0.2980769230769231,14,90,0.1346153846153846,0.6362735112999799,31
149,4,10.0,most_threat,0.941530240033959,0.75,0.06282187927315794,0.09889576818856222,0.9123404231736689,1.3128548658994175,0,spread,58,0.38926174496644295,20,129,0.1342281879194631,0.6437666355699019,44
71,4,10.0,most_threat,0.6044056404820387,0.75,0.14363211655213604,0.18148452088992842,0.926630885874357,1.2848595395832159,0,medium,13,0.18309859154929578,4,67,0.056338028169014086,0.6960481577665258,13
121,4,10.0,most_threat,0.941852873193326,0.75,0.120984151447389,0.3469046419900808,0.9150746800886478,0.6418961443686697,0,tight,28,0.23140495867768596,12,109,0.09917355371900827,0.6821229100932096,28
80,4,10.0,most_threat,0.9168792135696124,0.75,0.12727125717978305,0.15930794015678124,0.8804279267592867,1.2755402248216983,0,tight,29,0.3625,15,65,0.1875,0.6132339386200973,29
130,4,10.0,most_threat,0.840571476084907,0.75,0.053646103441789966,0.2304216790373775,0.890501639233297,0.476047926321411,0,tight,48,0.36923076923076925,11,119,0.08461538461538462,0.6813135547285697,32
127,4,10.0,most_threat,0.6015514711445625,0.75,0.0790204168487268,0.1651967038055008,0.9267419212564556,0.14498163288193355,0,tight,36,0.28346456692913385,7,120,0.05511811023622047,0.704252873265416,36
71,4,10.0,most_threat,0.7527284418262596,0.75,0.04486924599845476,0.3702548081613839,0.9312273746192519,1.6451768264621278,0,medium,21,0.29577464788732394,9,62,0.1267605633802817,0.6482365927148541,21
87,4,10.0,most_threat,0.87341891064088,0.75,0.05898770351444166,0.25284981635906895,0.8281425007387877,0.8471550650415631,0,tight,18,0.20689655172413793,8,79,0.09195402298850575,0.6823063795211579,18
86,4,10.0,most_threat,0.7083650712756976,0.75,0.07959067149575424,0.2958040534075515,0.9863405503622281,1.2784995106803252,0,medium,23,0.26744186046511625,8,78,0.09302325581395349,0.6681637644746523,23
82,4,10.0,most_threat,0.856350671993797,0.75,0.1473472061297186,0.26428204520462134,0.9671293557442877,1.5367255780991027,0,medium,26,0.3170731707317073,13,69,0.15853658536585366,0.6214069637434738,26
94,4,10.0,most_threat,0.8152381871649798,0.75,0.14122408861126762,0.3444268478287743,0.9605018984860544,0.8618549560740698,0,spread,34,0.3617021276595745,13,81,0.13829787234042554,0.6506377426558008,24
139,4,10.0,most_threat,0.641198703067235,0.75,0.15441101130521565,0.4535281671218705,0.9401321467910615,0.8564461530492258,0,spread,33,0.23741007194244604,6,133,0.04316546762589928,0.7146712173004633,33
79,4,10.0,most_threat,0.9083012678732458,0.75,0.047572281140321436,0.5335682744325018,0.9653456483165431,0.3673279566450327,0,spread,35,0.4430379746835443,7,72,0.08860759493670886,0.681096634105928,31
79,4,10.0,most_threat,0.7111689881324283,0.75,0.06929011909777309,0.2263696063745622,0.8966727337053061,0.4754230536477162,0,tight,11,0.13924050632911392,4,75,0.05063291139240506,0.7129580411758616,11
75,4,10.0,most_threat,0.6695138855153389,0.75,0.08239686526595726,0.4314318529732285,0.9569724775365204,0.08356301898947183,0,medium,19,0.25333333333333335,6,69,0.08,0.6791111865501028,19
92,4,10.0,most_threat,0.8761724982357217,0.75,0.02433503725802566,0.10926000940779385,0.8545408282083844,1.5773749096086642,0,tight,27,0.29347826086956524,12,80,0.13043478260869565,0.6465975552710408,27
83,4,10.0,most_threat,0.9767070868124692,0.75,0.03153208036291627,0.3232716144079178,0.8866523951694287,1.288443076579357,0,medium,31,0.37349397590361444,9,74,0.10843373493975904,0.6467172216688702,31
62,4,10.0,most_threat,0.8386073992398088,0.75,0.04004224854525116,0.27952166209718954,0.9752343009134403,0.3255313677565004,0,spread,30,0.4838709677419355,14,48,0.22580645161290322,0.5868466148268421,30
111,4,10.0,most_threat,0.8360788735958552,0.75,0.040045301861294534,0.16252458224167554,0.8023947253214154,0.8251563592940099,1,spread,51,0.4594594594594595,0,111,0.0,0.7554141164251411,32
87,4,10.0,most_threat,0.6308213694390556,0.75,0.056075326298081964,0.059981785395934295,0.9439852305598995,0.7572379940853711,0,tight,19,0.21839080459770116,2,85,0.022988505747126436,0.7215976687872159,19
136,4,10.0,most_threat,0.884221738286222,0.75,0.05483503984542299,0.41661393712471834,0.8622941005245411,1.3481305066671514,0,tight,49,0.3602941176470588,10,126,0.07352941176470588,0.6923563884982162,20
103,4,10.0,most_threat,0.7169397371268179,0.75,0.07079681230393002,0.32610479561086,0.9647782394593283,1.2822692281785442,0,spread,26,0.2524271844660194,6,97,0.05825242718446602,0.7043022474536179,26
99,4,10.0,most_threat,0.9427974467565899,0.75,0.12222127082493187,0.5530230270132873,0.8916205896138237,0.8687643911366494,0,medium,42,0.42424242424242425,20,79,0.20202020202020202,0.6005308193040527,42
67,4,10.0,most_threat,0.9418923332566093,0.75,0.09106211471152793,0.3363399243088636,0.9556633244086667,0.06979719910752724,1,medium,27,0.40298507462686567,0,67,0.0,0.7421243490775,27
125,4,10.0,most_threat,0.8562255927669435,0.75,0.028315105500602216,0.3521970120443651,0.9309276864608743,0.6480181674111103,0,tight,34,0.272,14,111,0.112,0.6653396942855717,27
69,4,10.0,most_threat,0.6557123015544805,0.75,0.018545101604416404,0.08298840026271824,0.8926931082253242,1.3077854535701476,0,medium,14,0.2028985507246377,5,64,0.07246376811594203,0.6882681435633067,14
141,4,10.0,most_threat,0.7145176696530013,0.75,0.11296733316899908,0.2116101208008486,0.8315126623622097,0.6353774086211768,0,medium,34,0.24113475177304963,6,135,0.0425531914893617,0.6994941857549479,30
