n_drones,num_detected,num_intercepted,num_passed,success_rate,civil_risk,missiles_used,detection_rate,weather_factor,terrain_factor,radar_jam,comm_jam_level,strategy,num_units,missiles_per_unit_avg
101,30,9,92,0.0891089108910891,0.5295017767194642,30,0.297029702970297,0.6436438527062999,0.8252558238958578,0.12497072050799321,0.1547798099465647,most_threat,10,10.0
87,27,12,75,0.13793103448275862,0.47757290968035865,27,0.3103448275862069,0.7209678045114145,0.7817041822419271,0.056621637948039746,0.4340840386845348,most_threat,10,10.0
137,25,11,126,0.08029197080291971,0.4994581317982779,25,0.18248175182481752,0.797312330935424,0.5019799715060713,0.11320237305190703,0.06719244352985558,most_threat,10,10.0
107,36,12,95,0.11214953271028037,0.4904701513856076,36,0.3364485981308411,0.7157991460478879,0.8320628696416752,0.07566019515741196,0.21327022865368866,most_threat,10,10.0
89,36,11,78,0.12359550561797752,0.4885380063194703,36,0.4044943820224719,0.955636959299584,0.9689136034961916,0.2279028804202293,0.22879844873352884,most_threat,10,10.0
67,24,10,57,0.14925373134328357,0.4832611142784497,24,0.3582089552238806,0.9791668315737988,0.8584186033669513,0.18966852195713443,0.3272596976556823,most_threat,10,10.0
136,34,15,121,0.11029411764705882,0.5006128837854824,34,0.25,0.953122271675394,0.5349720050693156,0.2183796621654799,0.30181180940017927,most_threat,10,10.0
81,26,9,72,0.1111111111111111,0.5250264691482487,26,0.32098765432098764,0.9500235856675772,0.908791343924668,0.019121666500057526,0.4268730419937465,most_threat,10,10.0
66,18,8,58,0.12121212121212122,0.4860401498988322,18,0.2727272727272727,0.655362001146811,0.9084533550472924,0.07431943968807965,0.5063189504769527,most_threat,10,10.0
85,44,18,67,0.21176470588235294,0.42978916364949976,44,0.5176470588235295,0.9796612213392204,0.9718435433233583,0.025804790586888504,0.300101274420316,most_threat,10,10.0
55,9,2,53,0.03636363636363636,0.584323629718303,9,0.16363636363636364,0.7011658377991061,0.8710895191475783,0.17236273089786994,0.40885742819996324,most_threat,10,10.0
68,15,2,66,0.029411764705882353,0.5344785868752818,15,0.22058823529411764,0.6117770058979326,0.8766927120078047,0.07438528638114333,0.12208148647665364,most_threat,10,10.0
138,57,25,113,0.18115942028985507,0.4761554151462554,57,0.41304347826086957,0.8971635384195211,0.8165214617378616,0.11036132692069642,0.4144620855544905,most_threat,10,10.0
66,18,8,58,0.12121212121212122,0.47455642005938653,18,0.2727272727272727,0.7234511959404673,0.6126995555623201,0.040297724821776244,0.5842385095684653,most_threat,10,10.0
61,29,16,45,0.26229508196721313,0.39771124258016427,29,0.47540983606557374,0.8875317147087451,0.9570077460182755,0.0332093793817144,0.46387557468407503,most_threat,10,10.0
54,20,9,45,0.16666666666666666,0.46996683821264845,20,0.37037037037037035,0.8887162919878764,0.5564591359167993,0.0541001091049778,0.36516087074501785,most_threat,10,10.0
106,25,7,99,0.0660377358490566,0.5083073302446227,25,0.2358490566037736,0.6522812407943933,0.6093793549791302,0.06705087942751736,0.16541185431238395,most_threat,10,10.0
