n_drones,num_detected,num_intercepted,num_passed,success_rate,civil_risk,missiles_used,detection_rate,weather_factor,terrain_factor,radar_jam,comm_jam_level,strategy,num_units,missiles_per_unit_avg
101,23,9,92,0.0891089108910891,0.5256957992555915,16,0.22772277227722773,0.749718706855917,0.5087579954310311,0.12747690360080435,0.3192587550246861,most_threat,2,10.0
109,48,3,106,0.027522935779816515,0.5389289075592139,17,0.44036697247706424,0.7182618166449941,0.8098079634724611,0.10028561802516216,0.14866879326520954,most_threat,2,10.0
71,40,9,62,0.1267605633802817,0.5005309251840291,20,0.5633802816901409,0.8748759985874706,0.9073968337618293,0.0049186113598559495,0.24014873564992215,most_threat,2,10.0
76,16,2,74,0.02631578947368421,0.5433955412089477,14,0.21052631578947367,0.8023091335476844,0.5089940657861938,0.10574161271054025,0.35456459421079783,most_threat,2,10.0
76,27,4,72,0.05263157894736842,0.5298180547090313,14,0.35526315789473684,0.7595365647787883,0.9522007182584762,0.1839665863731509,0.6068080517752141,most_threat,2,10.0
97,38,8,89,0.08247422680412371,0.51839996498368,20,0.3917525773195876,0.8302877221324817,0.791693116163874,0.047755408036002645,0.2608799119347449,most_threat,2,10.0
54,25,15,39,0.2777777777777778,0.4204773719230816,25,0.46296296296296297,0.9027979037958622,0.8747633044039549,0.08438346091339644,0.2888747753432686,most_threat,2,10.0
134,58,5,129,0.03731343283582089,0.5270873781091587,9,0.43283582089552236,0.8175894315905917,0.7575301728789348,0.038870211001997945,0.1466759848657295,most_threat,2,10.0
95,25,4,91,0.042105263157894736,0.5390385354354936,19,0.2631578947368421,0.7933272886209013,0.7869726611003347,0.06214101565892293,0.5364630985162324,most_threat,2,10.0
104,31,3,101,0.028846153846153848,0.5406737444277838,11,0.2980769230769231,0.8077312466204383,0.6564541665293184,0.09716584156574956,0.5126989572703545,most_threat,2,10.0
138,46,4,134,0.028985507246376812,0.536277708234786,14,0.3333333333333333,0.6573917078982433,0.9415917451763665,0.07321958650289342,0.3898596839850272,most_threat,2,10.0
146,25,2,144,0.0136986301369863,0.5678289632050669,18,0.17123287671232876,0.6502563908438386,0.5482936151344728,0.12188672279741622,0.5538376213672228,most_threat,2,10.0
68,18,3,65,0.04411764705882353,0.5493175673111237,13,0.2647058823529412,0.9005672082199481,0.5732492720097765,0.0790992082520461,0.1239015967903174,most_threat,2,10.0
66,23,8,58,0.12121212121212122,0.4952394377190861,15,0.3484848484848485,0.7635372662132935,0.8698154660804707,0.10091470151079378,0.3760726371227859,most_threat,2,10.0
80,26,2,78,0.025,0.5435642842426935,7,0.325,0.8597630077998921,0.7387327353135624,0.123484136813863,0.21884839288801622,most_threat,2,10.0
123,39,5,118,0.04065040650406504,0.5468156118674907,15,0.3170731707317073,0.7755049691467655,0.7036785122188101,0.026634394719123825,0.28274419905322085,most_threat,2,10.0
76,27,12,64,0.15789473684210525,0.472305787209828,23,0.35526315789473684,0.8103332821245748,0.8765794640385276,0.12281990159516719,0.5218628927576057,most_threat,2,10.0
59,16,5,54,0.0847457627118644,0.5054344845318356,16,0.2711864406779661,0.8512573903128322,0.5470220897505527,0.052213997554644904,0.4687710207898007,most_threat,2,10.0
81,31,4,77,0.04938271604938271,0.5340549694580076,18,0.38271604938271603,0.9170375097273408,0.6041604987868023,0.09479672172320955,0.4522904732667815,most_threat,2,10.0
67,10,1,66,0.014925373134328358,0.5319657424544808,10,0.14925373134328357,0.603140878419753,0.6644306462212624,0.09230267146574946,0.6098381054101744,most_threat,2,10.0
116,44,7,109,0.0603448275862069,0.5525304310254067,20,0.3793103448275862,0.7016820862344393,0.9552998497023857,0.08871631665472923,0.5536642750633414,most_threat,2,10.0
92,32,4,88,0.043478260869565216,0.5227037834094442,16,0.34782608695652173,0.8846962110511672,0.6387473287825852,0.014994373578192307,0.5687698050715668,most_threat,2,10.0
124,52,5,119,0.04032258064516129,0.5349222621364939,13,0.41935483870967744,0.672977449537407,0.8458396713065555,0.08662699314168336,0.34879017545112806,most_threat,2,10.0
112,32,5,107,0.044642857142857144,0.5596738511250761,16,0.2857142857142857,0.7086763211723268,0.9933156291134213,0.13422430861005175,0.46431096246089393,most_threat,2,10.0
71,18,3,68,0.04225352112676056,0.539951149849189,13,0.2535211267605634,0.7390173679694781,0.7537641917204807,0.13579212812698516,0.21211060277758922,most_threat,2,10.0
142,64,0,142,0.0,0.5763525844790331,9,0.4507042253521127,0.6726205544307714,0.9496121294810899,0.060987599288015504,0.08170669032997571,most_threat,2,10.0
140,64,12,128,0.08571428571428572,0.49572728343516426,23,0.45714285714285713,0.8939506079412158,0.9823273408530646,0.17532377960416012,0.6045979144593915,most_threat,2,10.0
111,34,5,106,0.04504504504504504,0.5594586070875247,25,0.3063063063063063,0.6386557337773668,0.7256842768725286,0.07190009394735601,0.23578660834845405,most_threat,2,10.0
137,36,4,133,0.029197080291970802,0.5486742920516796,18,0.26277372262773724,0.7060272369657231,0.6553769986417995,0.0495976976783444,0.24263796851870828,most_threat,2,10.0
138,47,3,135,0.021739130434782608,0.5579950687569812,13,0.34057971014492755,0.7241434068695535,0.7719033456207582,0.04673467997736464,0.12768087096227432,most_threat,2,10.0
118,63,9,109,0.07627118644067797,0.5304047102335175,17,0.5338983050847458,0.8301906936840355,0.9117809414486417,0.028619906889397924,0.2321607430893708,most_threat,2,10.0
58,13,5,53,0.08620689655172414,0.5446127389908917,13,0.22413793103448276,0.7508429624090702,0.7922364832006638,0.1702264786544984,0.0710862579187416,most_threat,2,10.0
129,32,8,121,0.06201550387596899,0.5313129747204415,17,0.24806201550387597,0.684536290534783,0.9320175260028132,0.14955894362136013,0.349652682296441,most_threat,2,10.0
75,14,5,70,0.06666666666666667,0.527899555321703,14,0.18666666666666668,0.726662266469498,0.5097653726374783,0.05493673669426553,0.5575038887461395,most_threat,2,10.0
109,38,8,101,0.07339449541284404,0.5095599179692724,20,0.3486238532110092,0.8997386785025632,0.6658117940068143,0.09532003592927786,0.025914930382425896,most_threat,2,10.0
64,17,7,57,0.109375,0.49644524053822575,17,0.265625,0.6376550130719096,0.7034448175517662,0.0794565528033557,0.23655778032682195,most_threat,2,10.0
134,67,11,123,0.08208955223880597,0.5091599266064788,22,0.5,0.8240813939315793,0.9406419317166785,0.03434978861431005,0.19482239525257306,most_threat,2,10.0
133,63,8,125,0.06015037593984962,0.5227302501135063,17,0.47368421052631576,0.9887785041502029,0.8029960374728279,0.09032169426382851,0.30641956945805665,most_threat,2,10.0
94,30,6,88,0.06382978723404255,0.5133431172585096,18,0.3191489361702128,0.6827870160570065,0.6828007197473139,0.04035284401459077,0.2836105341618863,most_threat,2,10.0
52,21,7,45,0.1346153846153846,0.5005013394700875,21,0.40384615384615385,0.8167352523900269,0.6729155568786487,0.018305402149097087,0.4397154294918886,most_threat,2,10.0
58,31,7,51,0.1206896551724138,0.5012726728124686,20,0.5344827586206896,0.8661255561347951,0.9998338945407697,0.10090515284410016,0.4956725934000377,most_threat,2,10.0
135,42,5,130,0.037037037037037035,0.5501541877645236,20,0.3111111111111111,0.7342839822199217,0.7961518072175806,0.01018665348032726,0.6215908182058015,most_threat,2,10.0
145,41,2,143,0.013793103448275862,0.5437484357263132,12,0.2827586206896552,0.6691134149255602,0.7291417149823396,0.12359379137033491,0.3230692697422047,most_threat,2,10.0
120,55,16,104,0.13333333333333333,0.4896655280363414,24,0.4583333333333333,0.9477498132948177,0.8283065200300945,0.025689082677209353,0.41565333387440684,most_threat,2,10.0
69,24,2,67,0.028985507246376812,0.538096599270103,7,0.34782608695652173,0.8313673231128841,0.7861153211353984,0.09142018361230629,0.44081642290041806,most_threat,2,10.0
132,47,11,121,0.08333333333333333,0.5194237225009185,22,0.3560606060606061,0.7727387284786303,0.7443624960863628,0.05464932698348533,0.09027412188255425,most_threat,2,10.0
141,48,6,135,0.0425531914893617,0.5303783810228659,17,0.3404255319148936,0.9053537089495082,0.6130347311168609,0.04321543721345184,0.3216103349475132,most_threat,2,10.0
134,39,6,128,0.04477611940298507,0.5340855210541008,14,0.291044776119403,0.8509570097620239,0.6374381007339908,0.13403461390615587,0.18813405722276969,most_threat,2,10.0
76,38,12,64,0.15789473684210525,0.4739138493346678,28,0.5,0.9407841598384672,0.9081351012754368,0.16153696756858119,0.4495815590972578,most_threat,2,10.0
