n_drones,num_units,missiles_per_unit_avg,priority_strategy,weather_factor,terrain_factor,radar_jam,comm_jam_level,temp_factor,system_latency,resource_failure,formation,num_detected,detection_rate,num_intercepted,num_passed,success_rate,civil_risk,missiles_used
112,5,10.0,most_threat,0.8092338898327138,0.75,0.06315336214154425,0.09193502982412396,0.8829086370000473,0.369170259074066,0,tight,36,0.32142857142857145,14,98,0.125,0.6582947153036492,36
161,5,10.0,most_threat,0.8597515280946489,0.75,0.06119082912681706,0.12077322769540527,0.9312635487922147,0.44130211924349694,0,tight,49,0.30434782608695654,24,137,0.14906832298136646,0.6387396095298555,49
90,5,10.0,most_threat,0.8186459758654684,0.75,0.11267997890119727,0.28752668465003406,0.9492269040556103,0.31474316669982083,1,medium,29,0.32222222222222224,0,90,0.0,0.7580712441148009,29
68,5,10.0,most_threat,0.7315207218313815,0.75,0.061569085138457,0.17383569493641673,0.9456609474433676,1.202773971963572,0,tight,20,0.29411764705882354,4,64,0.058823529411764705,0.699749992303286,20
150,5,10.0,most_threat,0.7427934768560451,0.75,0.08680578293004576,0.24818360384197444,0.9159084953700782,0.9689456180663851,0,spread,50,0.3333333333333333,13,137,0.08666666666666667,0.6838749435338013,50
78,5,10.0,most_threat,0.824702181017756,0.75,0.08142986624202445,0.6686869983233262,0.9564910157290555,1.8586970493819834,0,tight,23,0.2948717948717949,10,68,0.1282051282051282,0.6499791015986818,23
51,5,10.0,most_threat,0.967771840223363,0.75,0.057690628849361006,0.2502917240653845,0.8725157704346507,1.0885078187017259,0,spread,16,0.3137254901960784,3,48,0.058823529411764705,0.7121655341514932,16
99,5,10.0,most_threat,0.9947446810120865,0.75,0.11535287132422534,0.2522528640987112,0.9583302625201191,0.5485607524502638,0,medium,38,0.3838383838383838,14,85,0.1414141414141414,0.6598912240353226,38
32,5,10.0,most_threat,0.6211823201805298,0.75,0.11828214828854401,0.45694387099881983,0.9453583023690606,0.2827182617722994,0,medium,8,0.25,1,31,0.03125,0.6997914904554915,8
159,5,10.0,most_threat,0.7486164897798354,0.75,0.09321209351952985,0.4386016368271743,0.9227636759484444,1.2422452058236204,0,medium,61,0.3836477987421384,11,148,0.06918238993710692,0.702911382273506,40
98,5,10.0,most_threat,0.7362957422844052,0.75,0.0672504293644525,0.5503951080496878,0.9754931044762352,0.49529223409131107,0,spread,30,0.30612244897959184,9,89,0.09183673469387756,0.6725787051707012,30
